id,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
1119,-22.25,-40.44,-28.39,-32.85,-42.75,-48.71,-45.76,-41.15,-50.33,-54.55
1121,-23.58,-1.25,24.23,21.77,7.49,2.40,9.99,23.27,18.52,15.98
1123,-18.06,-9.57,33.57,29.36,15.77,10.50,22.29,38.66,36.52,32.24
1125,-11.50,1.59,26.84,20.17,6.82,8.96,15.62,23.53,15.98,17.39
1127,-37.30,-21.12,9.52,-1.44,-11.95,-12.40,7.27,35.78,46.43,52.80
1129,-22.93,-7.17,17.94,4.73,-9.51,-13.45,9.62,23.22,29.48,31.69
1131,-34.12,-36.79,-22.02,-31.85,-33.33,-38.15,-34.78,-35.27,-42.25,-48.65
1133,-5.39,19.12,44.53,35.57,21.16,18.64,39.93,56.55,63.26,72.22
2013,,,,,,,,,,
2016,,,,,,,,,,
2020,,,,,,,,,,
2050,,,,,,,,,,
2060,,,,,,,,,,
2068,,,,,,,,,,
2070,,,,,,,,,,
2090,,,,,,,,,,
2100,,,,,,,,,,
2105,,,,,,,,,,
2110,,,,,,,,,,
2122,,,,,,,,,,
2130,,,,,,,,,,
2150,,,,,,,,,,
2164,,,,,,,,,,
2170,,,,,,,,,,
2180,,,,,,,,,,
2185,,,,,,,,,,
2188,,,,,,,,,,
2195,,,,,,,,,,
2198,,,,,,,,,,
2220,,,,,,,,,,
2230,,,,,,,,,,
2240,,,,,,,,,,
2261,,,,,,,,,,
2270,,,,,,,,,,
2275,,,,,,,,,,
2282,,,,,,,,,,
2290,,,,,,,,,,
4001,-30.37,19.58,-12.58,-24.73,-36.31,-40.85,-36.38,-30.06,-28.08,-34.33
4003,3.22,28.17,25.55,14.27,-1.51,1.83,14.50,20.28,20.54,22.26
4005,7.40,25.88,20.36,6.19,-12.01,-17.75,-6.65,-12.82,-16.94,-15.47
4007,-10.90,17.44,13.34,4.67,-9.69,-12.46,8.22,19.30,27.71,26.66
4009,8.75,24.67,25.75,19.80,8.02,3.06,27.44,39.94,40.51,37.52
4011,-25.17,-13.38,-4.28,-6.27,-6.11,-17.57,13.61,24.55,18.73,9.44
4012,,,29.10,18.65,-4.21,-1.38,17.27,25.87,28.33,31.98
4013,27.13,40.37,44.92,31.02,8.51,2.69,10.35,14.61,10.52,10.69
4015,7.49,44.43,39.60,26.35,1.06,3.29,15.67,28.13,32.71,42.14
4017,-3.62,33.65,17.17,6.96,-11.72,-14.64,2.35,7.60,11.64,7.84
4019,3.90,15.31,14.82,1.74,-11.20,-12.80,-8.03,-5.99,-6.04,-6.91
4021,-6.02,12.85,15.87,3.82,-10.34,-17.74,1.14,15.09,14.39,16.35
4023,0.99,10.96,21.79,0.78,-6.04,-36.55,-21.24,-19.17,-31.21,-37.75
4025,24.60,45.39,43.42,30.85,8.67,13.65,23.57,23.22,24.26,30.35
4027,7.42,34.90,36.08,19.13,4.58,2.70,12.75,15.97,13.75,12.58
5001,-38.92,-11.20,20.62,12.94,-26.50,-34.49,7.47,9.78,22.44,22.21
5003,-25.87,-6.77,25.33,-4.10,-33.34,-31.19,-4.56,8.06,28.12,25.35
5005,1.02,32.32,40.75,27.99,-8.59,1.12,18.09,21.58,31.60,44.04
5007,5.75,32.61,53.08,43.67,12.37,14.30,32.73,37.90,36.53,40.39
5009,-15.29,18.22,39.81,30.20,-0.24,2.62,29.89,34.87,39.68,48.00
5011,-51.75,-30.45,7.51,-1.83,-30.43,-35.79,-8.27,-4.59,14.40,18.76
5013,-60.42,-22.62,16.41,12.46,-12.66,-25.26,5.08,17.44,34.78,36.71
5015,-14.84,16.77,37.59,26.49,-2.64,3.04,20.45,19.30,18.06,23.85
5017,-40.89,-20.88,-15.27,-12.08,-44.36,-46.25,-28.21,-26.66,-17.74,-22.45
5019,-56.91,-36.92,-5.12,-15.82,-37.70,-39.02,-10.26,-9.18,3.75,6.33
5021,-49.90,-12.20,6.87,-10.83,-45.21,-39.84,-21.58,-8.28,14.30,29.10
5023,-48.30,0.25,28.83,18.23,-15.13,-7.06,15.77,22.02,44.20,52.14
