id,1948,1968
1001,15e900,13b532
1003,38c600,1dc419
1005,0ef000,0cb03c
1007,17e700,0ecc23
1009,4cb200,38b709
1011,00fe00,0b7e73
1013,10ee00,11c22a
1015,34ca00,1db627
1017,1fdf00,19bd20
1019,2ad400,0fd614
1021,718d00,2dbd10
1023,00fe00,07b144
1025,05f900,0eb632
1027,41bd00,23cc0c
1029,4eb000,1ed30a
1031,0df100,10d219
1033,27d700,1cb925
1035,0bf300,08b636
1037,3ec000,16bd29
1039,0df100,10dd0f
1041,06f800,09d121
1043,53ab00,49a310
1045,24da00,0fd516
1047,0bf300,138663
1049,6e9000,5b8b15
1051,10ee00,11c325
1053,19e500,10c823
1055,35c900,23af25
1057,5ba300,21bf1b
1059,708e00,46a510
1061,22dc00,08e90b
1063,0cf200,0b638f
1065,0af400,0c8e61
1067,0bf300,00cb2e
1069,22dc00,0fd516
1071,41bd00,1bc617
1073,30ce00,318445
1075,1ce200,0fe10d
1077,24da00,27b51d
1079,32cc00,13d316
1081,20de00,2d9536
1083,0ef000,15cf15
1085,00fe00,128e60
1087,17e700,0a40b1
1089,21dd00,409227
1091,08f600,0c9060
1093,53ab00,2dc20b
1095,41bd00,29c20e
1097,31cd00,1dab33
1099,00fe00,0db53a
1101,1ce200,249542
1103,1de100,22c015
1105,07f700,0e7f70
1107,0fef00,0cb739
1109,0cf200,14b82f
1111,45b900,1fbf18
1113,0df100,0fab3d
1115,5aa400,2ab916
1117,53ab00,28b71a
1119,0bf300,10727b
1121,28d600,1ab72a
1123,10ee00,19c31c
1125,1ee000,22a731
1127,4eb000,22bd19
1129,05f900,08cb28
1131,00fe00,0d905f
1133,a45a00,648b0b
2013,000000,0
2016,000000,0
2020,000000,0
2050,000000,0
2060,000000,0
2068,000000,0
2070,000000,0
2090,000000,0
2100,000000,0
2105,000000,0
2110,000000,0
2122,000000,0
2130,000000,0
2150,000000,0
2164,000000,0
2170,000000,0
2180,000000,0
2185,000000,0
2188,000000,0
2195,000000,0
2198,000000,0
2220,000000,0
2230,000000,0
2240,000000,0
2261,000000,0
2270,000000,0
2275,000000,0
2282,000000,0
2290,000000,0
4001,640099,7f1865
4003,5e0798,742464
4005,780284,97174e
4007,5105a7,5e207e
4009,5b02a1,782c59
4011,3a12b2,4512a5
4012,5505a4,772164
4013,760682,961750
4015,6d048c,832456
4017,660395,822852
4019,79067e,811267
4021,60039a,6c1d74
4023,6b0390,7a1170
4025,7a057e,952047
4027,5505a4,772164
5001,373f87,3c7e43
5003,1426c3,2f8d41
5005,500f9f,7e3848
5007,710c80,7f3f40
5009,4c0fa2,734a41
5011,183fa6,2a874d
5013,0c1dd5,218d50
5015,69098c,823b41
5017,1d5789,276275
5019,2626b1,3a6261
5021,480baa,605b42
5023,360dba,4f6549
5025,143eac,20b42a
5027,125398,3b764c
5029,2c1ab8,4d4c64
5031,2537a1,526e3d
5033,561395,606737
5035,0eb13f,3b7053
5037,176b7b,308845
5039,1638af,2e7857
5041,1339b2,2b6e65
5043,165097,387d48
5045,2c16bc,416657
5047,2f0dc1,4a753f
5049,4607b0,5c534e
5051,512786,605747
5053,182fb6,2b983b
5055,2511c7,5a5f45
5057,20538b,3e6e51
5059,3319b2,388343
5061,1e1fc0,516943
5063,3d18a8,5a5a4a
5065,2706d0,4f5e50
5067,1a12d2,31814b
5069,243c9d,336a60
5071,3b12b1,535457
5073,146d7d,2f7955
5075,2f10be,497342
5077,10945a,2b636f
5079,391da8,208c51
5081,1c4c96,397154
5083,480caa,5b544e
5085,202eb0,378442
5087,820379,783551
5089,3e07b9,6c444d
5091,1b459e,3f7946
5093,1f4897,476552
5095,20439b,297a5b
5097,300ebf,596441
5099,1d3da4,367355
5101,80037b,81324b
5103,1936af,2f6c63
5105,2e25aa,526646
5107,1c8e53,2f5f6f
5109,3012bc,557632
5111,1d3aa6,458336
5113,4214a8,66583f
5115,341dad,61514b
5117,273c9b,318f3e
5119,3d3a87,545257
5121,240bcf,4a6152
5123,157277,2c765b
5125,2224b8,3b7d46
5127,2f09c5,575c4a
5129,740684,903736
5131,541892,71513b
5133,2523b6,50634a
5135,330ebd,535f4b
5137,550b9d,5e5d42
5139,1f34aa,487441
5141,4c0fa3,5b544f
5143,671a7d,7c3b47
5145,2d21b0,516a43
5147,1c558c,2b7959
5149,2a0fc4,575e51
6001,760e79,5f1189
6003,c30c2e,971453
6005,630992,6b1f73
6007,7d0c74,901953
6009,77097e,851c5d
6011,750584,831367
6013,670b8c,711576
6015,8a0b69,75186e
6017,6d0c84,7c1c65
6019,5e0a95,6f1478
6021,820676,891c58
6023,780b7b,751374
6025,860672,861a5d
6027,8e0a66,8a1b58
6029,6a058f,761b6c
6031,5e0798,6d1779
6033,920d5f,7c1769
6035,5608a0,681d78
6037,761077,790e77
6039,600994,6f137b
6041,910c61,7f0b6f
6043,8e0a65,7f1965
6045,800d70,761671
6047,6c068c,681481
6049,760780,851662
6051,a50b4d,a31643
6053,810875,7f126b
6055,86096f,6f1b73
6057,770f77,831763
6059,9b075c,a1104c
6061,5e0b95,6c167a
6063,530d9d,5f1886
6065,8d0a66,861462
6067,600994,6a1181
6069,8d056b,791273
6071,7b0979,7f1865
6073,7e0779,8f125b
6075,741079,550e98
6077,7d0977,7a176c
6079,880b6b,82106a
6081,900965,6f1078
6083,940961,880d66
6085,870b6b,740d7b
6087,930d5e,811168
6089,650890,67187e
6091,6e0a85,751277
6093,6c0889,751474
6095,5507a1,581d88
6097,8c0c66,7c136d
6099,7b0979,730f7a
6101,850672,971551
6103,820a72,781c69
6105,720f7c,6d216e
6107,770780,851464
6109,7a0c77,79186d
6111,6b078b,821268
6113,6f0985,610f8b
6115,77087e,7a1d66
8001,680393,6f1a73
8003,71018b,8c1160
8005,750286,981153
8007,70018c,7e156a
8009,790283,922249
8011,6e028d,79166f
8013,840971,930d5c
8014,000000,0
8015,690293,821566
8017,830278,8e1d53
8019,80027c,86185f
8021,660394,740a7f
8023,5c049d,5205a0
8025,80017d,80205d
8027,930367,9a1b48
8029,7c057d,8d1759
8031,730486,6f0d80
8033,70048a,872d4a
8035,8e016f,9c1a46
8037,660b8c,7d136e
8039,8f026c,9b1b48
8041,8c036e,891a5a
8043,820378,881a5b
8045,7f027d,85195f
8047,7e057b,862551
8049,7e037c,ab123f
8051,700687,940e5b
8053,a3005b,a81d39
8055,5605a2,590b98
8057,860078,ac1240
8059,820378,911359
8061,870275,8f1758
8063,960266,9b1250
8065,5508a1,5a1988
8067,820478,911656
8069,920269,9e0f4e
8071,4e03ac,540d9c
8073,80017c,911953
8075,7f017d,911854
8077,6e038d,7e1867
8079,6d0090,6f1579
8081,860375,9e1c43
8083,7d027f,8f1f4e
8085,7b047e,861c5a
8087,880274,9c144e
8089,5401a9,7e1369
8091,8c0270,842752
8093,8d026f,952147
8095,850573,911854
8097,6c078a,8f115b
8099,7e027e,7d166a
8101,5c049d,57148f
8103,8e026d,a4193f
8105,860077,940b5f
8107,680491,89195c
8109,780184,850f69
8111,77087e,752a5f
8113,6a0390,871364
8115,8b0171,9b0f54
8117,6e018e,921952
8119,7b0380,852e4a
8121,8d0170,9b2141
8123,860275,921258
8125,890173,9f144a
9001,8b096a,84106a
9003,720587,620c8f
9005,930466,7c0d74
9007,830477,730e7c
9009,7b067c,691381
9011,780481,710e7e
9013,840575,730d7d
9015,760285,680a8c
10001,81017c,71305c
10003,7c037e,721d6f
10005,890174,782c5a
11001,000000,2e00d0
12001,3c655d,564e5a
12003,182eb8,1bb62d
12005,202ab4,359f2a
12007,29468e,26993f
12009,6a296b,7a483c
12011,81205c,8a294a
12013,1225c7,1dc120
12015,702568,80304d
12017,472691,625c3f
12019,432c8f,596f35
12021,474e68,814735
12023,2a4b89,358c3c
12027,452b8d,447f3a
12029,163bac,1abc27
12031,41437a,4e5c53
12033,2538a0,388a3c
12035,3c863c,337556
12037,1f4798,2a9b38
12039,225a81,257d5c
12041,0b1fd4,1ebc23
12043,443c7d,3c8c35
12045,1722c4,18b62f
12047,1f35a9,1f924c
12049,3d1aa6,488f27
12051,423289,447d3c
12053,433d7d,576641
12055,581f87,6d533e
12057,533674,585452
12059,27488f,11de0e
12061,761a6d,823c3f
12063,1c558c,19b233
12065,1d5a86,258157
12067,0b1ad9,17c225
12069,6e256a,78562f
12071,644852,754741
12073,2f3a95,486451
12075,1c548e,2f9d31
12077,0918dd,16c423
12079,166483,23914a
12081,70315c,853c3c
12083,393491,536b40
12085,722a62,813d40
12086,5e1888,5e257b
12087,1f0bd4,57495e
12089,31408c,328d3e
12091,1e3fa0,439525
12093,2b14be,49872d
12095,772364,804539
12097,711b71,6f5c32
12099,742763,872f47
12101,60227c,6c4d45
12103,8e165a,832852
12105,552386,5e6a35
12107,4b4c66,447743
12109,4a6350,57693d
12111,613c61,6d424e
12113,272fa7,33ab20
12115,7f2d52,a22536
12117,543773,714c40
12119,1d3aa7,2d9040
12121,1730b6,24a832
12123,1b36ac,28a72f
12125,1041ad,1bb62c
12127,642377,653e5a
12129,0d39b8,1ab42f
12131,2b349e,22b625
12133,223d9f,1bbe25
13001,1633b4,2fa12d
13003,0f1ad5,1d9c45
13005,1547a2,35b019
13007,0634c4,0e9e51
13009,443189,53604b
13011,100be3,2fab23
13013,132ac1,438634
13015,2414c6,3f7d42
13017,1d1fc1,328a42
13019,0c1dd4,25bb1e
13021,37487e,536a41
13023,1546a3,35ad1b
13025,1a4a9a,1ac023
13027,1c4e94,27a235
13029,1345a6,29993c
13031,1737af,44803a
13033,12af3c,495d57
13035,0d1ad7,317d50
13037,1127c5,1f825d
13039,304c81,31824b
13043,1f4a95,329536
13045,2420b9,428a31
13047,2c24ae,37af18
13049,1f4798,2b973b
13051,3f4b73,565256
13053,009965,229448
13055,170cdb,338f3b
13057,4a1e96,5b7231
13059,291eb6,633b5f
13061,1b16cc,1a7b68
13063,1a3ba9,597e28
13065,182abb,2ba32f
13067,361dab,696431
13069,1329c2,319735
13071,2731a5,33ac1e
13073,0ec927,577630
13075,1329c1,25ae2b
13077,1514d5,538129
13079,165c8b,268b4c
13081,1c449e,2d9f31
13083,2a19bb,2eba15
13085,860771,518627
13087,215687,1ba53e
13089,4b268d,803a44
13091,1537b1,2f9837
13093,0814e1,249247
13095,2733a3,4c7e34
13097,4d4b65,40922b
13099,111cd1,15b633
13101,0d6a87,15d316
13103,1f9b44,31a428
13105,122ac2,2b9a39
13107,194c98,36893e
13109,153cad,379531
13111,920468,963335
13113,0c3bb7,42912a
13115,3816af,58762f
13117,361aad,4f8925
13119,1a1dc6,2ba42e
13121,4a2192,5b346e
13123,780680,834f2b
13125,06ba3e,30c10c
13127,3c3a88,4d6e43
13129,2e14bc,4c8130
13131,1c31b1,18a73e
13133,0e2dc2,2f5876
13135,1c20c1,4e812f
13137,2d1bb5,48862f
13139,251cbd,5c673b
13141,244891,1a4d97
13143,3b21a1,439723
13145,1e35aa,427745
13147,0d0ee3,1fab34
13149,1810d5,2aa232
13151,1f1dc1,40734a
13153,1935b0,4b8131
13155,1b31b2,26ae2a
13157,1018d6,2f903f
13159,193fa5,346a60
13161,133fac,32ab20
13163,149950,3b665c
13165,19489c,397e49
13167,0d668b,21b527
13169,176086,317e4e
13171,2027b6,348247
13173,2226b6,27a92d
13175,11519b,368444
13177,137675,2b874b
13179,1939ac,2a6271
13181,0bd122,2f9639
13183,0c4ba7,169552
13185,285d78,468136
13187,3111bc,527d2f
13189,08d71e,536c3e
13191,443e7c,266672
13193,1b5191,317f4e
