05027,0.98%, 42.32%, 43.30%,-
05029,25.33%, 35.13%, 60.47%,-
05031,3.35%, 48.97%, 45.61%,-
05033,15.96%, 57.10%, 41.14%, 1.76%
05035,8.68%, 43.56%, 52.24%,-
05037,22.16%, 35.60%, 57.76%,-
05039,37.48%, 25.20%, 62.68%,-
05041,36.56%, 27.01%, 63.57%,-
05043,36.12%, 26.36%, 62.49%,-
05045,21.09%, 36.71%, 57.80%,-
05047,10.50%, 43.48%, 53.99%,-
05049,22.93%, 60.95%, 38.02%, 1.03%
05051,6.25%, 51.66%, 45.42%,-
05053,36.62%, 24.81%, 61.44%,-
05055,2.08%, 47.73%, 49.81%,-
05057,13.62%, 40.93%, 54.55%,-
05059,29.42%, 29.59%, 59.00%,-
05061,5.16%, 44.79%, 49.95%,-
05063,2.87%, 49.90%, 47.02%,-
05065,23.67%, 35.94%, 59.61%,-
05067,16.94%, 38.50%, 55.44%,-
05069,23.65%, 31.76%, 55.41%,-
05071,12.72%, 42.29%, 55.01%,-
05073,24.65%, 30.67%, 55.31%,-
05075,6.74%, 44.28%, 51.02%,-
05077,13.88%, 38.28%, 52.17%,-
05079,43.61%, 23.66%, 67.27%,-
05081,35.39%, 29.79%, 65.17%,-
05083,13.06%, 42.28%, 55.33%,-
05085,26.76%, 29.17%, 55.93%,-
05087,17.69%, 58.20%, 40.51%, 1.29%
05089,2.39%, 50.60%, 48.21%, 1.20%
05091,17.70%, 38.35%, 56.06%,-
05093,1.46%, 47.08%, 48.54%,-
05095,33.34%, 27.15%, 60.50%,-
05097,2.86%, 49.85%, 46.99%,-
05099,24.28%, 34.06%, 58.34%,-
05101,36.10%, 67.51%, 31.41%, 1.08%
05103,33.33%, 29.77%, 63.10%,-
05105,20.79%, 36.17%, 56.97%,-
05107,29.01%, 32.47%, 61.48%,-
05109,0.76%, 48.19%, 47.43%,-
05111,7.11%, 44.64%, 51.75%,-
05113,6.80%, 51.82%, 45.02%,-
05115,3.35%, 46.04%, 49.38%,-
05117,35.89%, 27.85%, 63.73%,-
05119,6.97%, 39.70%, 46.67%,-
05121,1.95%, 49.42%, 47.47%,-
05123,14.30%, 39.53%, 53.83%,-
05125,25.08%, 32.32%, 57.40%,-
05127,0.93%, 50.22%, 49.29%, 0.49%
05129,38.05%, 68.55%, 30.50%, 0.95%
05131,14.58%, 56.75%, 42.16%, 1.09%
05133,15.49%, 40.25%, 55.73%,-
05135,5.82%, 51.01%, 45.18%,-
05137,3.19%, 49.36%, 46.17%,-
05139,6.41%, 41.51%, 47.92%,-
05141,6.57%, 44.51%, 51.08%,-
05143,29.96%, 64.34%, 34.38%, 1.28%
05145,12.80%, 40.52%, 53.33%,-
05147,37.32%, 26.31%, 63.63%,-
05149,20.54%, 37.96%, 58.49%,-
06001,8.41%, 45.61%, 54.02%, 0.37%
06003,53.49%, 76.74%, 23.26%,-
06005,10.54%, 44.51%, 55.04%, 0.45%
06007,15.69%, 57.60%, 41.92%, 0.48%
06009,5.80%, 52.60%, 46.80%, 0.60%
