statecounty,0.70%, 43.42%, 42.72%, 13.53%
48001,2.65%, 29.86%, 36.40%, 33.75%
48003,2.42%, 38.53%, 25.37%, 36.10%
48005,5.88%, 29.16%, 32.48%, 38.36%
48007,5.38%, 39.63%, 45.01%, 15.36%
48009,28.51%, 26.98%, 55.49%, 17.52%
48011,14.13%, 46.12%, 31.99%, 21.89%
48013,14.06%, 35.41%, 49.47%, 15.12%
48015,15.43%, 45.27%, 29.83%, 24.90%
48017,13.84%, 45.90%, 32.06%, 22.01%
48019,17.06%, 46.78%, 29.72%, 23.50%
48021,24.08%, 28.43%, 52.51%, 19.05%
48023,18.81%, 30.36%, 49.17%, 20.47%
48025,17.35%, 35.98%, 53.34%, 10.62%
48027,29.26%, 26.98%, 56.24%, 16.77%
48029,12.10%, 39.46%, 51.56%, 8.98%
48031,0.41%, 42.14%, 42.55%, 15.31%
48033,10.36%, 30.31%, 40.67%, 29.02%
48035,11.22%, 35.12%, 46.34%, 18.54%
48037,3.56%, 30.44%, 33.00%, 36.56%
48039,2.68%, 35.32%, 38.00%, 26.66%
48041,3.47%, 43.90%, 40.43%, 15.64%
48043,8.03%, 37.78%, 45.82%, 16.36%
48045,10.10%, 35.49%, 45.60%, 18.91%
48047,52.61%, 20.51%, 73.12%, 6.37%
48049,11.65%, 34.84%, 46.49%, 18.67%
48051,24.12%, 27.31%, 51.43%, 21.27%
48053,10.48%, 36.68%, 47.16%, 16.16%
48055,28.99%, 27.33%, 56.32%, 16.32%
48057,17.57%, 31.25%, 48.82%, 19.91%
48059,16.67%, 29.75%, 46.41%, 23.80%
48061,13.44%, 39.82%, 53.26%, 6.92%
48063,6.83%, 19.13%, 43.85%, 37.02%
48065,11.43%, 45.10%, 33.67%, 21.23%
48067,4.72%, 26.26%, 34.50%, 39.22%
48069,5.21%, 36.40%, 41.61%, 21.95%
48071,3.11%, 29.42%, 33.74%, 36.85%
48073,5.71%, 26.80%, 33.74%, 39.46%
48075,1.74%, 37.88%, 39.62%, 22.51%
48077,20.07%, 29.49%, 49.56%, 20.95%
48079,5.21%, 33.62%, 38.83%, 27.55%
48081,15.19%, 33.39%, 48.58%, 17.95%
48083,1.41%, 36.68%, 35.26%, 28.06%
48085,3.54%, 39.93%, 36.39%, 23.67%
48087,1.76%, 36.83%, 38.59%, 24.57%
48089,5.88%, 42.22%, 36.34%, 21.39%
48091,19.49%, 54.34%, 34.84%, 10.79%
48093,13.19%, 34.81%, 48.00%, 17.16%
