statecounty,margin,coolidge,davis,other,lafollette
13201,44.26%, 24.59%, 68.85%,-, 6.56%
13205,81.74%, 6.09%, 87.83%,-, 6.09%
13207,79.27%, 8.34%, 87.61%,-, 4.04%
13209,58.72%, 19.21%, 77.92%,-, 2.87%
13211,61.46%, 16.41%, 77.86%,-, 5.73%
13213,11.10%, 42.33%, 53.43%,-, 4.25%
13215,76.56%, 9.03%, 85.59%,-, 5.38%
13217,60.74%, 14.63%, 75.37%,-, 10.00%
13219,56.07%, 11.89%, 72.09%,-, 16.02%
13221,82.39%, 6.56%, 88.96%,-, 4.48%
13223,4.44%, 40.95%, 45.40%,-, 13.65%
13225,0%,-,-,-,-
13227,20.71%, 60.25%, 39.54%, 0.21%,-
13229,62.67%, 16.57%, 79.24%,-, 4.19%
13231,81.65%, 4.07%, 88.79%,-, 7.14%
13233,22.35%, 33.38%, 55.73%,-, 10.90%
13235,83.94%, 5.89%, 89.84%,-, 4.27%
13237,96.15%,-, 97.65%, 2.35%,-
13239,86.67%, 5.33%, 92.00%,-, 2.67%
13241,56.83%, 19.73%, 76.56%,-, 3.71%
13243,65.55%, 13.41%, 78.96%,-, 7.62%
13245,22.71%, 33.71%, 56.43%,-, 9.86%
13247,81.57%, 5.53%, 88.02%,-, 6.45%
13249,90.39%, 4.27%, 94.66%, 1.07%,-
13251,46.55%, 25.15%, 71.70%,-, 3.14%
13253,72.24%, 9.80%, 82.04%,-, 8.16%
13255,82.32%, 5.28%, 88.52%,-, 6.20%
13257,80.63%, 6.68%, 87.31%,-, 6.01%
13259,80.65%, 5.16%, 87.74%,-, 7.10%
13261,75.31%, 8.48%, 83.79%,-, 7.73%
13263,87.07%, 6.27%, 93.35%, 0.38%,-
13265,57.00%,-, 77.82%, 1.37%, 20.82%
13267,72.32%, 5.02%, 83.65%,-, 11.33%
13269,56.38%, 19.75%, 76.13%,-, 4.12%
13271,63.63%, 15.03%, 78.66%,-, 6.32%
13273,84.05%, 6.47%, 90.52%,-, 3.02%
13275,79.63%, 7.86%, 87.49%,-, 4.65%
13277,81.01%, 5.55%, 87.73%,-, 6.72%
13279,74.60%, 8.47%, 83.07%,-, 8.47%
13281,11.73%, 55.76%, 44.02%, 0.22%,-
13283,77.38%, 10.71%, 88.10%, 1.19%,-
13285,74.64%, 9.80%, 84.44%,-, 5.76%
13287,32.09%, 30.97%, 63.06%,-, 5.97%
13289,77.78%, 8.02%, 85.80%,-, 6.17%
13291,4.72%, 45.88%, 50.61%,-, 3.51%
13293,72.98%, 6.37%, 83.30%,-, 10.33%
13295,32.26%, 32.86%, 65.12%,-, 2.02%
13297,76.39%, 8.78%, 85.17%,-, 6.05%
13299,60.82%, 10.82%, 75.00%,-, 14.18%
13301,40.05%, 9.30%, 65.37%,-, 25.32%
13303,65.08%, 13.47%, 78.55%,-, 7.98%
13305,69.18%, 6.56%, 81.31%,-, 12.13%
13307,81.25%, 6.25%, 87.50%,-, 6.25%
13309,77.68%,-, 88.84%,-, 11.16%
13311,48.92%, 24.31%, 73.23%,-, 2.46%
13313,28.46%, 33.47%, 61.92%,-, 4.61%
13315,80.20%, 4.29%, 87.96%,-, 7.76%
13317,59.63%, 4.09%, 77.77%,-, 18.14%
13319,64.59%, 15.86%, 80.45%,-, 3.68%
13321,74.01%, 5.47%, 84.27%,-, 10.26%
15001,0%,-,-,-,-
15003,0%,-,-,-,-
15005,0%,-,-,-,-
15007,0%,-,-,-,-
15009,0%,-,-,-,-
16001,25.95%, 54.47%, 17.01%,-, 28.52%
16003,5.31%, 42.24%, 20.82%,-, 36.94%
16005,6.03%, 44.99%, 16.05%,-, 38.96%
16007,24.55%, 54.19%, 29.63%,-, 16.18%
16009,6.86%, 46.98%, 12.90%,-, 40.12%
16011,20.72%, 53.45%, 13.82%,-, 32.73%
16013,10.74%, 41.59%, 30.85%,-, 27.56%
16015,7.98%, 43.02%, 21.95%,-, 35.03%
16017,6.89%, 40.19%, 12.73%,-, 47.08%
16019,15.27%, 53.62%, 8.02%,-, 38.35%
16021,7.76%, 46.97%, 13.82%,-, 39.21%
16023,14.06%, 46.01%, 22.05%,-, 31.95%
16025,11.86%, 35.26%, 17.63%,-, 47.11%
16027,13.50%, 38.40%, 9.70%,-, 51.90%
16029,34.72%, 58.80%, 17.13%,-, 24.07%
16031,17.80%, 52.01%, 13.78%,-, 34.21%
16033,44.96%, 69.47%, 6.02%,-, 24.51%
16035,11.09%, 47.47%, 16.16%,-, 36.38%
16037,15.02%, 45.99%, 30.97%,-, 23.03%
16039,5.64%, 38.01%, 18.35%,-, 43.64%
16041,24.31%, 51.87%, 20.58%,-, 27.55%
16043,5.04%, 45.30%, 14.45%,-, 40.26%
16045,2.74%, 41.31%, 14.64%,-, 44.05%
16047,8.32%, 45.42%, 17.47%,-, 37.10%
16049,1.85%, 38.17%, 21.81%,-, 40.02%
16051,11.11%, 50.07%, 10.96%,-, 38.96%
16053,9.25%, 46.76%, 15.74%,-, 37.51%
16055,0.45%, 44.84%, 10.77%,-, 44.39%
16057,18.90%, 52.28%, 14.35%,-, 33.37%
16059,30.47%, 54.38%, 23.92%,-, 21.70%
16061,5.14%, 32.44%, 29.99%,-, 37.57%
16063,20.82%, 54.36%, 12.10%,-, 33.54%
16065,30.46%, 53.82%, 22.83%,-, 23.36%
16067,12.37%, 39.92%, 7.79%,-, 52.29%
16069,7.69%, 42.42%, 22.85%,-, 34.73%
16071,9.36%, 42.81%, 23.73%,-, 33.45%
16073,6.93%, 36.53%, 20.01%,-, 43.46%
16075,11.15%, 47.39%, 16.38%,-, 36.23%
16077,4.16%, 43.13%, 17.89%,-, 38.97%
16079,16.08%, 51.02%, 14.04%,-, 34.94%
16081,26.97%, 55.70%, 15.58%,-, 28.73%
16083,20.17%, 51.04%, 18.09%,-, 30.87%
16085,1.00%, 40.57%, 17.86%,-, 41.57%
16087,4.44%, 41.33%, 21.77%,-, 36.90%
17001,5.56%, 40.92%, 35.35%, 0.40%, 23.33%
17003,23.76%, 58.10%, 34.34%, 0.10%, 7.46%
17005,23.43%, 56.88%, 33.45%, 0.55%, 9.13%
17007,56.27%, 75.37%, 5.38%, 0.14%, 19.11%
17009,12.98%, 41.49%, 54.46%, 0.53%, 3.52%
17011,33.76%, 60.38%, 12.74%, 0.27%, 26.62%
17013,0.89%, 48.12%, 47.23%, 0.42%, 4.24%
17015,30.18%, 60.93%, 8.06%, 0.25%, 30.75%
17017,3.02%, 41.23%, 38.21%, 0.24%, 20.32%
17019,39.79%, 62.81%, 23.02%, 0.28%, 13.89%
17021,9.79%, 46.08%, 36.29%, 0.57%, 17.07%
17023,5.75%, 51.55%, 45.79%, 0.36%, 2.30%
17025,6.43%, 49.60%, 43.17%, 0.30%, 6.92%
17027,19.11%, 29.69%, 21.32%, 0.19%, 48.80%
17029,18.42%, 54.90%, 36.49%, 0.22%, 8.39%
17031,41.56%, 61.87%, 20.31%, 0.21%, 17.61%
17033,6.44%, 51.25%, 44.81%, 0.08%, 3.86%
17035,5.95%, 51.09%, 45.14%, 0.17%, 3.60%
17037,64.36%, 76.40%, 11.20%, 0.36%, 12.03%
17039,27.51%, 58.77%, 31.27%, 0.35%, 9.61%
17041,23.81%, 55.65%, 31.84%, 0.48%, 12.02%
17043,53.97%, 72.81%, 8.15%, 0.19%, 18.84%
17045,8.93%, 52.31%, 43.38%, 0.15%, 4.15%
17047,43.09%, 69.59%, 26.49%, 0.38%, 3.54%
17049,8.12%, 39.18%, 47.30%, 0.25%, 13.27%
17051,3.31%, 48.43%, 45.13%, 0.38%, 6.06%
17053,54.03%, 70.53%, 16.50%, 0.15%, 12.82%
17055,5.77%, 39.59%, 33.82%, 1.44%, 25.14%
17057,20.38%, 48.35%, 27.96%, 0.54%, 23.16%
17059,12.96%, 39.16%, 52.12%, 0.68%, 8.04%
17061,12.63%, 39.73%, 52.35%, 0.18%, 7.74%
17063,39.17%, 63.97%, 10.94%, 0.29%, 24.79%
17065,8.43%, 44.02%, 52.44%, 0.23%, 3.31%
17067,11.56%, 51.83%, 40.27%, 0.43%, 7.47%
17069,0.71%, 49.06%, 48.34%, 0.11%, 2.49%
17071,52.54%, 72.87%, 20.32%, 0.30%, 6.50%
17073,55.73%, 72.39%, 10.69%, 0.27%, 16.65%
17075,44.39%, 64.07%, 19.68%, 0.24%, 16.01%
17077,13.18%, 49.30%, 36.12%, 0.41%, 14.16%
17079,1.78%, 47.37%, 49.15%, 0.34%, 3.14%
17081,7.02%, 44.57%, 51.59%, 0.25%, 3.59%
17083,4.75%, 44.44%, 49.19%, 0.33%, 6.05%
17085,16.41%, 50.36%, 15.29%, 0.40%, 33.95%
17087,26.03%, 60.59%, 34.57%, 0.22%, 4.62%
17089,61.13%, 76.34%, 8.21%, 0.25%, 15.21%
17091,48.85%, 67.47%, 13.47%, 0.45%, 18.61%
17093,69.36%, 79.68%, 9.80%, 0.20%, 10.32%
17095,45.35%, 65.89%, 13.30%, 0.26%, 20.55%
17097,60.28%, 75.48%, 8.31%, 1.00%, 15.20%
17099,38.77%, 60.47%, 17.55%, 0.28%, 21.70%
17101,5.63%, 51.50%, 45.87%, 2.63%,-
17103,49.73%, 69.36%, 19.63%, 0.32%, 10.69%
17105,45.15%, 64.53%, 19.37%, 0.21%, 15.89%
17107,27.15%, 57.16%, 30.01%, 0.39%, 12.44%
17109,28.35%, 60.99%, 32.63%, 0.32%, 6.06%
17111,45.23%, 67.24%, 10.54%, 0.22%, 22.01%
17113,32.87%, 55.95%, 23.07%, 0.25%, 20.73%
17115,35.81%, 60.22%, 24.40%, 0.30%, 15.07%
17117,7.38%, 39.24%, 28.08%, 0.81%, 31.86%
17119,16.88%, 47.61%, 30.74%, 0.23%, 21.42%
17121,8.38%, 44.01%, 35.63%, 0.40%, 19.96%
17123,30.01%, 58.41%, 28.40%, 0.46%, 12.73%
17125,14.76%, 52.72%, 37.96%, 0.27%, 9.04%
17127,51.07%, 71.44%, 20.37%, 0.44%, 7.75%
17129,18.73%, 56.18%, 37.45%, 0.25%, 6.11%
17131,47.65%, 68.30%, 20.66%, 0.22%, 10.82%
17133,20.66%, 48.35%, 27.70%, 0.22%, 23.73%
17135,14.14%, 47.26%, 33.12%, 0.62%, 19.00%
17137,16.86%, 55.40%, 38.54%, 0.15%, 5.91%
17139,10.58%, 53.10%, 42.52%, 0.41%, 3.98%
17141,56.97%, 71.61%, 13.48%, 0.27%, 14.64%
17143,32.33%, 58.55%, 14.71%, 0.51%, 26.22%
17145,7.39%, 39.76%, 32.37%, 0.57%, 27.30%
17147,34.98%, 64.31%, 29.34%, 0.36%, 5.99%
17149,3.98%, 45.59%, 49.57%, 0.45%, 4.40%
17151,36.41%, 66.51%, 30.10%, 0.12%, 3.26%
17153,30.37%, 61.57%, 31.20%, 0.07%, 7.16%
17155,35.08%, 61.50%, 11.72%, 0.36%, 26.42%
17157,7.29%, 41.61%, 34.32%, 0.26%, 23.81%
17159,5.41%, 50.07%, 44.66%, 0.47%, 4.79%
17161,25.93%, 57.69%, 10.19%, 0.37%, 31.76%
17163,16.59%, 45.85%, 29.26%, 0.44%, 24.45%
17165,15.82%, 47.03%, 31.21%, 0.56%, 21.20%
17167,23.77%, 51.58%, 27.81%, 0.68%, 19.92%
17169,2.22%, 46.21%, 48.43%, 0.32%, 5.05%
17171,5.28%, 50.49%, 45.21%, 0.23%, 4.08%
17173,2.92%, 48.13%, 45.21%, 0.51%, 6.16%
17175,50.42%, 71.07%, 20.65%, 0.11%, 8.17%
17177,21.89%, 53.27%, 15.12%, 0.23%, 31.38%
17179,27.96%, 52.11%, 23.49%, 0.26%, 24.15%
17181,18.28%, 39.16%, 57.44%, 0.12%, 3.28%
17183,29.89%, 54.64%, 19.70%, 0.91%, 24.75%
17185,2.17%, 45.61%, 43.44%, 0.46%, 10.48%
17187,42.10%, 65.07%, 22.97%, 0.43%, 11.53%
17189,28.30%, 56.43%, 28.13%, 0.41%, 15.03%
17191,7.37%, 52.70%, 45.34%, 1.96%,-
17193,7.06%, 44.71%, 51.77%, 0.22%, 3.29%
17195,60.83%, 74.04%, 12.56%, 0.19%, 13.21%
17197,41.90%, 64.16%, 13.26%, 0.33%, 22.26%
17199,15.70%, 45.27%, 29.57%, 0.44%, 24.72%
17201,50.44%, 71.32%, 7.23%, 0.56%, 20.88%
17203,32.98%, 57.48%, 24.49%, 0.27%, 17.77%
18001,12.04%, 41.34%, 53.38%, 0.42%, 4.85%
18003,17.10%, 54.12%, 37.03%, 0.50%, 8.35%
18005,15.82%, 56.62%, 40.80%, 0.26%, 2.33%
18007,20.50%, 58.14%, 37.64%, 0.36%, 3.86%
18009,6.60%, 51.10%, 44.50%, 0.60%, 3.80%
18011,6.64%, 52.57%, 45.93%, 1.50%,-
18013,23.11%, 36.93%, 60.04%, 0.73%, 2.30%
18015,10.40%, 53.52%, 43.11%, 0.38%, 2.99%
18017,26.22%, 55.89%, 29.67%, 0.49%, 13.95%
18019,6.31%, 51.70%, 45.38%, 0.18%, 2.74%
18021,4.97%, 48.86%, 43.88%, 0.34%, 6.92%
18023,10.09%, 53.88%, 43.79%, 2.33%,-
18025,10.49%, 43.08%, 53.57%, 0.58%, 2.76%
18027,6.95%, 51.42%, 44.46%, 0.22%, 3.90%
18029,2.71%, 48.11%, 45.41%, 0.38%, 6.10%
18031,8.79%, 52.94%, 44.15%, 0.26%, 2.65%
18033,17.57%, 54.63%, 37.05%, 0.50%, 7.82%
18035,28.20%, 61.74%, 33.55%, 1.42%, 3.29%
18037,33.18%, 30.53%, 63.71%, 0.08%, 5.68%
18039,41.21%, 64.50%, 23.29%, 0.67%, 11.54%
18041,27.57%, 62.16%, 34.58%, 0.39%, 2.87%
18043,1.64%, 46.50%, 48.15%, 0.26%, 5.10%
18045,5.50%, 51.28%, 45.78%, 0.28%, 2.66%
18047,8.34%, 44.43%, 52.78%, 0.23%, 2.56%
18049,13.92%, 55.53%, 41.61%, 0.40%, 2.46%
18051,6.65%, 49.62%, 42.98%, 0.46%, 6.94%
18053,20.16%, 55.10%, 34.95%, 0.66%, 9.29%
18055,4.85%, 45.93%, 41.09%, 0.36%, 12.62%
18057,31.99%, 64.91%, 32.92%, 2.17%,-
18059,3.50%, 47.27%, 50.77%, 1.95%,-
18061,1.35%, 48.31%, 49.67%, 2.02%,-
18063,24.10%, 61.02%, 36.92%, 2.05%,-
18065,23.68%, 60.85%, 37.18%, 1.97%,-
18067,28.69%, 60.05%, 31.36%, 0.67%, 7.93%
18069,13.35%, 51.42%, 38.07%, 0.50%, 10.00%
18071,11.39%, 41.63%, 53.02%, 0.32%, 5.03%
18073,33.85%, 64.36%, 30.51%, 0.21%, 4.92%
18075,8.64%, 52.83%, 44.19%, 0.51%, 2.47%
18077,13.66%, 55.50%, 41.84%, 0.30%, 2.36%
18079,12.04%, 54.41%, 42.36%, 0.37%, 2.86%
18081,2.61%, 50.77%, 48.16%, 1.07%,-
18083,0.57%, 44.31%, 44.88%, 0.45%, 10.36%
18085,20.83%, 58.33%, 37.50%, 0.58%, 3.58%
18087,31.15%, 63.34%, 32.20%, 0.29%, 4.17%
18089,41.84%, 64.61%, 22.76%, 0.50%, 12.14%
18091,33.70%, 61.22%, 27.52%, 0.29%, 10.97%
18093,24.68%, 60.70%, 36.02%, 0.21%, 3.07%
18095,19.95%, 57.64%, 37.69%, 0.67%, 4.01%
18097,22.15%, 59.13%, 36.98%, 0.25%, 3.63%
18099,10.71%, 53.22%, 42.51%, 0.52%, 3.75%
18101,3.77%, 46.77%, 50.54%, 0.15%, 2.54%
18103,13.79%, 51.49%, 37.70%, 0.70%, 10.11%
18105,13.77%, 55.22%, 41.45%, 0.25%, 3.08%
18107,18.59%, 58.52%, 39.93%, 1.55%,-
18109,13.42%, 55.58%, 42.17%, 2.25%,-
18111,26.38%, 60.37%, 33.99%, 0.29%, 5.36%
18113,15.68%, 55.72%, 40.04%, 0.41%, 3.83%
18115,3.28%, 46.98%, 50.26%, 0.67%, 2.09%
18117,14.37%, 56.04%, 41.66%, 2.30%,-
18119,0.78%, 47.41%, 48.19%, 0.34%, 4.06%
18121,23.99%, 59.12%, 35.13%, 0.72%, 5.03%
18123,8.96%, 44.30%, 53.25%, 0.12%, 2.32%
18125,3.53%, 48.78%, 45.25%, 0.43%, 5.55%
18127,47.96%, 67.76%, 19.80%, 0.27%, 12.18%
18129,0.68%, 48.82%, 48.14%, 0.39%, 2.66%
18131,15.59%, 55.03%, 39.44%, 0.42%, 5.11%
18133,1.70%, 49.14%, 47.44%, 0.17%, 3.25%
18135,31.45%, 64.10%, 32.65%, 0.97%, 2.27%
18137,4.56%, 49.02%, 44.45%, 0.21%, 6.32%
18139,26.71%, 62.58%, 35.87%, 1.55%,-
18141,21.00%, 57.65%, 36.65%, 0.35%, 5.36%
18143,8.50%, 44.59%, 53.08%, 2.33%,-
18145,5.32%, 51.52%, 46.20%, 2.29%,-
18147,0.15%, 48.59%, 48.75%, 0.33%, 2.33%
18149,17.61%, 53.00%, 35.39%, 0.20%, 11.40%
18151,41.25%, 68.52%, 27.27%, 0.56%, 3.66%
18153,0.61%, 42.64%, 43.25%, 0.75%, 13.36%
18155,1.40%, 48.29%, 49.69%, 2.02%,-
18157,21.81%, 58.40%, 36.59%, 0.32%, 4.69%
18159,6.42%, 51.33%, 44.91%, 0.56%, 3.20%
18161,19.20%, 58.77%, 39.57%, 1.66%,-
18163,18.61%, 55.29%, 36.68%, 0.26%, 7.77%
18165,18.72%, 49.14%, 30.42%, 0.73%, 19.70%
18167,17.66%, 52.74%, 35.08%, 0.53%, 11.66%
18169,26.77%, 60.44%, 33.67%, 0.82%, 5.07%
18171,43.26%, 69.66%, 26.39%, 0.30%, 3.65%
18173,7.43%, 51.49%, 44.06%, 0.46%, 3.98%
18175,6.17%, 46.37%, 52.55%, 1.08%,-
18177,27.44%, 59.75%, 32.31%, 0.43%, 7.52%
18179,6.91%, 44.92%, 51.83%, 0.86%, 2.40%
18181,16.84%, 56.36%, 39.52%, 0.28%, 3.84%
18183,11.61%, 54.84%, 43.23%, 1.94%,-
19001,46.07%, 67.29%, 11.45%, 0.03%, 21.22%
19003,27.71%, 54.28%, 19.12%, 0.02%, 26.58%
19005,4.95%, 38.40%, 17.97%, 0.29%, 43.34%
19007,32.92%, 57.14%, 18.08%, 0.56%, 24.22%
19009,28.79%, 53.86%, 21.00%, 0.07%, 25.07%
19011,32.65%, 58.13%, 15.96%, 0.44%, 25.48%
19013,43.00%, 65.29%, 12.31%, 0.12%, 22.28%
19015,0.25%, 45.57%, 6.42%, 0.06%, 45.32%
19017,9.21%, 48.32%, 12.46%, 0.11%, 39.11%
19019,42.53%, 63.10%, 20.58%, 0.03%, 16.29%
19021,14.31%, 52.38%, 9.39%, 0.15%, 38.08%
19023,29.64%, 59.57%, 10.39%, 0.11%, 29.93%
19025,17.66%, 53.21%, 10.77%, 0.47%, 35.55%
19027,4.93%, 41.06%, 22.80%, 0.01%, 36.13%
19029,50.83%, 68.70%, 13.20%, 0.24%, 17.87%
19031,40.91%, 60.74%, 19.41%, 0.03%, 19.83%
19033,27.26%, 58.85%, 9.41%, 0.15%, 31.59%
19035,19.56%, 52.29%, 14.59%, 0.39%, 32.73%
19037,16.71%, 46.50%, 23.63%, 0.10%, 29.78%
19039,20.36%, 52.48%, 15.27%, 0.14%, 32.11%
19041,29.13%, 60.95%, 6.49%, 0.74%, 31.82%
19043,1.45%, 41.48%, 15.48%, 0.11%, 42.93%
19045,24.88%, 52.68%, 19.38%, 0.15%, 27.80%
19047,9.51%, 36.26%, 15.79%, 0.11%, 45.77%
19049,33.14%, 61.97%, 9.09%, 0.10%, 28.84%
19051,17.42%, 48.76%, 31.33%, 0.05%, 19.86%
19053,19.08%, 47.13%, 24.77%, 0.06%, 28.05%
19055,44.43%, 64.68%, 15.01%, 0.07%, 20.25%
19057,26.11%, 53.98%, 17.66%, 0.48%, 27.87%
19059,43.50%, 66.18%, 9.70%, 1.43%, 22.69%
19061,9.06%, 32.77%, 22.63%, 0.13%, 41.83%
19063,14.62%, 53.26%, 7.91%, 0.19%, 38.64%
19065,11.26%, 50.21%, 10.69%, 0.15%, 38.95%
19067,39.03%, 66.00%, 6.97%, 0.07%, 26.97%
19069,26.07%, 58.74%, 6.90%, 1.69%, 32.67%
19071,12.66%, 53.24%, 40.58%, 0.05%, 6.14%
19073,45.03%, 66.76%, 11.47%, 0.04%, 21.73%
19075,26.48%, 57.84%, 10.71%, 0.09%, 31.36%
19077,31.84%, 60.06%, 11.69%, 0.03%, 28.22%
19079,28.33%, 60.74%, 6.76%, 0.10%, 32.40%
19081,29.56%, 59.62%, 10.30%, 0.02%, 30.06%
19083,28.14%, 59.51%, 8.00%, 1.11%, 31.37%
19085,18.97%, 51.01%, 32.03%, 0.09%, 16.87%
19087,42.80%, 62.17%, 18.42%, 0.04%, 19.37%
19089,20.84%, 47.67%, 26.83%, 0.07%, 25.44%
19091,27.28%, 59.71%, 7.78%, 0.08%, 32.43%
19093,1.65%, 43.46%, 14.64%, 0.09%, 41.81%
19095,25.49%, 51.91%, 21.33%, 0.35%, 26.42%
19097,22.21%, 50.20%, 27.99%, 0.93%, 20.89%
19099,24.24%, 56.81%, 10.50%, 0.12%, 32.57%
19101,42.21%, 61.61%, 18.94%, 0.05%, 19.40%
19103,9.08%, 44.53%, 35.45%, 0.21%, 19.80%
19105,29.20%, 57.14%, 27.94%,-, 14.93%
19107,23.85%, 51.36%, 27.51%, 0.07%, 21.06%
19109,2.79%, 43.51%, 15.65%, 0.11%, 40.72%
19111,27.73%, 54.41%, 26.68%, 0.15%, 18.76%
19113,46.23%, 64.49%, 17.13%, 0.12%, 18.26%
19115,44.12%, 64.89%, 14.13%, 0.20%, 20.77%
19117,18.54%, 52.64%, 13.19%, 0.06%, 34.10%
19119,1.69%, 43.99%, 10.16%, 0.17%, 45.68%
19121,40.97%, 60.80%, 19.83%, 0.07%, 19.29%
19123,26.56%, 55.11%, 15.87%, 0.47%, 28.55%
19125,17.94%, 47.65%, 22.45%, 0.19%, 29.71%
19127,48.56%, 68.09%, 11.46%, 0.93%, 19.53%
19129,27.39%, 57.38%, 29.99%, 0.17%, 12.46%
19131,0.55%, 46.93%, 6.49%, 0.21%, 46.37%
19133,22.21%, 50.94%, 20.26%, 0.06%, 28.73%
19135,19.68%, 50.92%, 17.25%, 0.60%, 31.24%
19137,40.31%, 64.51%, 11.25%, 0.04%, 24.20%
19139,47.33%, 64.87%, 16.47%, 1.11%, 17.55%
19141,27.64%, 58.47%, 10.60%, 0.10%, 30.83%
19143,11.34%, 50.42%, 10.37%, 0.13%, 39.08%
19145,47.69%, 65.58%, 17.89%, 0.08%, 16.45%
19147,9.25%, 49.49%, 9.97%, 0.30%, 40.24%
19149,1.94%, 42.09%, 17.76%,-, 40.15%
19151,6.21%, 39.65%, 12.80%, 1.69%, 45.86%
19153,36.38%, 62.21%, 11.06%, 0.91%, 25.83%
19155,26.60%, 52.78%, 20.93%, 0.12%, 26.18%
19157,24.70%, 53.57%, 17.33%, 0.22%, 28.87%
19159,38.37%, 60.68%, 17.01%,-, 22.31%
19161,31.79%, 60.65%, 10.30%, 0.20%, 28.86%
19163,35.72%, 60.32%, 14.28%, 0.80%, 24.60%
19165,14.09%, 47.96%, 33.88%, 0.44%, 17.71%
19167,28.55%, 58.91%, 10.69%, 0.05%, 30.36%
19169,39.77%, 63.06%, 11.94%, 1.71%, 23.29%
19171,32.00%, 55.27%, 23.27%, 0.07%, 21.38%
19173,38.32%, 60.95%, 16.30%, 0.13%, 22.62%
19175,23.25%, 54.15%, 14.86%, 0.09%, 30.90%
19177,40.44%, 60.69%, 20.25%, 0.10%, 18.96%
19179,31.58%, 56.96%, 17.54%, 0.13%, 25.38%
19181,41.15%, 62.08%, 16.89%, 0.09%, 20.93%
19183,38.02%, 60.31%, 22.30%, 0.08%, 17.31%
19185,22.50%, 49.97%, 27.47%, 0.21%, 22.35%
19187,9.43%, 46.00%, 14.38%, 0.08%, 36.56%
19189,1.01%, 47.27%, 4.35%, 0.10%, 48.28%
19191,4.14%, 43.96%, 15.98%, 0.24%, 39.82%
19193,11.16%, 47.38%, 16.16%, 0.24%, 36.22%
19195,5.90%, 50.97%, 3.92%, 0.04%, 45.07%
19197,21.46%, 57.40%, 6.65%,-, 35.94%
20001,44.94%, 69.94%, 25.00%,-, 5.06%
20003,33.04%, 60.98%, 27.94%,-, 11.07%
20005,41.35%, 63.83%, 22.47%,-, 13.70%
20007,34.38%, 58.25%, 23.87%,-, 17.88%
20009,34.42%, 56.49%, 22.06%,-, 21.45%
20011,15.82%, 48.96%, 33.15%,-, 17.89%
20013,46.16%, 68.94%, 22.78%,-, 8.28%
20015,29.29%, 57.93%, 28.64%,-, 13.42%
20017,36.56%, 62.61%, 26.05%,-, 11.34%
20019,33.25%, 59.99%, 26.73%,-, 13.28%
20021,23.02%, 52.90%, 29.88%,-, 17.22%
20023,22.60%, 50.38%, 21.84%,-, 27.78%
20025,34.13%, 59.16%, 25.03%,-, 15.81%
20027,39.26%, 62.93%, 23.67%,-, 13.40%
20029,42.99%, 62.57%, 17.84%,-, 19.58%
20031,33.78%, 62.47%, 28.68%,-, 8.85%
20033,35.44%, 60.25%, 24.81%,-, 14.93%
20035,36.83%, 58.51%, 21.68%,-, 19.81%
20037,19.74%, 50.34%, 19.07%,-, 30.60%
20039,11.66%, 46.89%, 35.23%,-, 17.88%
20041,46.83%, 64.58%, 17.67%,-, 17.75%
20043,52.19%, 72.78%, 20.59%,-, 6.63%
20045,57.29%, 75.25%, 17.96%,-, 6.79%
20047,47.95%, 66.98%, 19.03%,-, 13.99%
20049,35.22%, 64.26%, 29.04%,-, 6.71%
20051,14.89%, 46.37%, 22.15%,-, 31.48%
20053,34.34%, 58.77%, 24.42%,-, 16.81%
20055,40.06%, 61.66%, 21.60%,-, 16.74%
20057,31.91%, 57.99%, 26.08%,-, 15.94%
20059,41.12%, 67.05%, 25.94%,-, 7.01%
20061,48.43%, 66.34%, 17.91%,-, 15.75%
20063,45.38%, 67.77%, 22.38%,-, 9.85%
20065,28.29%, 53.78%, 20.74%,-, 25.49%
20067,45.47%, 67.11%, 21.64%,-, 11.26%
20069,30.69%, 59.34%, 28.65%,-, 12.00%
20071,41.91%, 64.21%, 13.49%,-, 22.30%
20073,36.55%, 64.02%, 27.47%,-, 8.51%
20075,25.96%, 52.27%, 26.31%,-, 21.42%
20077,22.40%, 53.25%, 30.85%,-, 15.90%
20079,36.11%, 58.96%, 22.86%,-, 18.18%
20081,43.06%, 65.13%, 22.06%,-, 12.81%
20083,35.90%, 60.66%, 24.76%,-, 14.57%
20085,48.11%, 71.09%, 22.97%,-, 5.94%
20087,51.00%, 72.71%, 21.70%,-, 5.59%
20089,37.04%, 64.83%, 27.78%,-, 7.39%
20091,38.84%, 66.15%, 27.31%,-, 6.54%
20093,33.18%, 57.57%, 18.04%,-, 24.39%
20095,30.11%, 54.33%, 24.22%,-, 21.45%
20097,47.43%, 70.08%, 22.65%,-, 7.28%
20099,30.35%, 55.25%, 24.90%,-, 19.85%
20101,35.12%, 59.08%, 23.96%,-, 16.97%
20103,46.53%, 68.05%, 21.52%,-, 10.43%
20105,34.86%, 59.41%, 16.04%,-, 24.55%
20107,27.08%, 57.91%, 30.84%,-, 11.25%
20109,44.47%, 63.86%, 19.39%,-, 16.75%
20111,32.26%, 57.32%, 25.06%,-, 17.62%
20113,46.30%, 65.99%, 19.69%,-, 14.32%
20115,34.14%, 56.38%, 21.38%,-, 22.24%
20117,36.92%, 62.35%, 25.43%,-, 12.22%
20119,42.45%, 66.94%, 24.49%,-, 8.56%
20121,36.04%, 61.76%, 25.72%,-, 12.52%
20123,31.98%, 59.79%, 27.80%,-, 12.41%
