statecounty,margin,coolidge,davis,other,lafollette
05029,24.55%, 33.72%, 58.27%,-, 8.01%
05031,32.18%, 29.06%, 61.24%,-, 9.70%
05033,15.43%, 34.23%, 49.66%,-, 16.12%
05035,80.09%, 8.81%, 88.90%,-, 2.29%
05037,47.53%, 21.08%, 68.61%,-, 10.32%
05039,44.38%, 26.68%, 71.06%,-, 2.26%
05041,32.89%, 21.55%, 55.67%,-, 22.78%
05043,28.38%, 35.12%, 63.51%, 1.37%,-
05045,42.21%, 25.14%, 67.35%,-, 7.50%
05047,41.84%, 23.05%, 64.88%,-, 12.07%
05049,38.33%, 29.00%, 67.33%,-, 3.67%
05051,15.40%, 37.50%, 52.91%,-, 9.59%
05053,57.69%, 15.50%, 73.19%,-, 11.31%
05055,35.76%, 23.57%, 59.33%,-, 17.11%
05057,31.61%, 30.37%, 61.98%,-, 7.65%
05059,29.93%, 29.25%, 59.18%,-, 11.57%
05061,42.13%, 23.12%, 65.25%,-, 11.63%
05063,38.15%, 26.15%, 64.30%,-, 9.55%
05065,48.70%, 24.10%, 72.80%,-, 3.10%
05067,43.93%, 25.44%, 69.37%,-, 5.19%
05069,39.19%, 22.29%, 61.48%,-, 16.24%
05071,45.67%, 19.78%, 65.46%,-, 14.76%
05073,40.33%, 24.53%, 64.86%,-, 10.62%
05075,38.01%, 23.18%, 61.19%,-, 15.63%
05077,29.77%, 35.00%, 64.77%, 0.23%,-
05079,53.25%, 23.04%, 76.29%, 0.68%,-
05081,31.11%, 31.80%, 62.90%,-, 5.30%
05083,17.79%, 32.06%, 49.85%,-, 18.10%
05085,47.66%, 23.87%, 71.52%,-, 4.61%
05087,2.67%, 46.85%, 49.52%,-, 3.64%
05089,41.51%, 21.56%, 63.07%,-, 15.37%
05091,44.41%, 17.28%, 63.56%,-, 19.16%
05093,47.24%, 24.86%, 72.10%,-, 3.04%
05095,40.03%, 26.00%, 66.04%,-, 7.96%
05097,8.05%, 40.82%, 48.87%,-, 10.32%
05099,25.79%, 29.90%, 55.69%,-, 14.41%
05101,29.66%, 61.23%, 31.57%,-, 7.20%
05103,15.83%, 41.18%, 57.01%, 1.82%,-
05105,15.95%, 32.91%, 48.86%,-, 18.23%
05107,57.62%, 19.65%, 77.27%,-, 3.07%
05109,29.90%, 31.93%, 61.82%,-, 6.25%
05111,45.79%, 22.81%, 68.60%,-, 8.59%
05113,22.65%, 31.49%, 54.14%,-, 14.37%
05115,48.85%, 21.23%, 70.08%,-, 8.69%
05117,29.13%, 32.68%, 61.81%,-, 5.50%
05119,30.94%, 28.36%, 59.30%,-, 12.34%
05121,31.71%, 32.20%, 63.91%,-, 3.89%
05123,36.74%, 29.52%, 66.26%,-, 4.23%
05125,59.34%, 13.65%, 72.99%,-, 13.36%
05127,20.57%, 33.24%, 53.81%,-, 12.94%
05129,28.92%, 60.33%, 31.42%,-, 8.25%
05131,19.41%, 33.13%, 52.54%,-, 14.34%
05133,44.35%, 18.28%, 63.03%,-, 18.69%
05135,52.16%, 21.11%, 73.27%,-, 5.63%
05137,27.08%, 32.31%, 59.38%,-, 8.31%
05139,56.75%, 16.84%, 73.59%,-, 9.58%
05141,33.73%, 30.12%, 63.85%,-, 6.02%
05143,19.96%, 35.90%, 55.87%,-, 8.23%
05145,32.99%, 27.69%, 60.69%,-, 11.62%
05147,48.52%, 24.26%, 72.78%,-, 2.96%
05149,56.19%, 19.15%, 75.34%,-, 5.50%
06001,30.21%, 61.48%, 6.05%, 1.19%, 31.27%
06003,79.66%, 88.14%, 8.47%, 3.39%,-
06005,3.68%, 38.93%, 17.11%, 1.35%, 42.61%
06007,1.93%, 42.25%, 12.52%, 1.05%, 44.18%
06009,4.66%, 39.44%, 15.06%, 1.40%, 44.10%
06011,9.26%, 43.84%, 19.25%,-, 34.58%
06013,17.08%, 54.67%, 6.72%, 1.01%, 37.60%
06015,20.66%, 52.63%, 12.12%,-, 31.98%
06017,29.99%, 28.49%, 12.07%, 0.97%, 58.48%
06019,2.25%, 44.01%, 12.98%, 1.26%, 41.76%
06021,3.54%, 44.84%, 11.40%,-, 41.30%
06023,21.99%, 56.82%, 7.09%, 1.26%, 34.83%
06025,13.18%, 50.28%, 11.04%, 1.59%, 37.09%
06027,8.55%, 47.52%, 12.81%, 0.70%, 38.97%
06029,10.08%, 46.08%, 16.84%, 1.09%, 36.00%
06031,21.35%, 50.00%, 19.72%, 1.64%, 28.65%
06033,7.74%, 44.94%, 14.75%,-, 37.20%
06035,3.50%, 40.78%, 13.54%, 1.41%, 44.28%
06037,39.88%, 65.51%, 7.33%, 1.53%, 25.63%
06039,0.11%, 42.66%, 12.65%,-, 42.55%
