04013,13.90%, 11.32%, 45.97%,-, 32.07%, 2.31%
04015,11.41%, 8.56%, 39.70%, 0.62%, 28.29%,-
04017,7.35%, 22.86%, 39.05%, 0.95%, 31.70%,-
04019,4.32%, 19.57%, 38.41%, 1.88%, 34.09%,-
04021,5.09%, 9.94%, 43.73%, 0.12%, 38.63%,-
04023,27.08%, 11.94%, 53.30%, 0.43%, 26.23%,-
04025,19.64%, 18.84%, 42.38%, 0.89%, 22.73%,-
04027,6.09%, 8.43%, 39.74%, 0.47%, 33.65%,-
05001,38.39%, 16.95%, 59.16%,-, 20.76%,-
05003,31.12%, 23.15%, 54.27%,-, 18.25%,-
05005,36.14%, 14.26%, 53.82%,-, 17.67%,-
05007,43.97%, 14.05%, 61.12%,-, 17.14%,-
05009,42.68%, 17.45%, 60.12%,-, 17.38%,-
05011,54.02%, 11.84%, 66.72%,-, 12.71%,-
05013,32.79%, 9.05%, 55.03%,-, 22.24%,-
05015,24.42%, 24.91%, 49.33%,-, 19.22%,-
05017,13.25%, 10.62%, 50.00%,-, 36.75%,-
05019,39.11%, 21.78%, 60.89%,-, 15.24%,-
05021,27.11%, 24.91%, 52.02%,-, 14.34%,-
05023,42.11%, 15.33%, 57.44%,-, 13.11%,-
05025,37.58%, 25.21%, 62.79%,-, 8.98%,-
05027,46.12%, 20.61%, 66.73%,-, 10.12%,-
05029,38.17%, 22.15%, 60.32%,-, 15.30%,-
05031,46.84%, 13.10%, 61.30%,-, 11.15%,-
05033,29.04%, 21.65%, 51.54%,-, 22.50%,-
05035,17.31%, 11.17%, 53.07%,-, 35.76%,-
05037,18.05%, 26.71%, 44.76%,-, 21.33%,-
05039,18.84%, 17.33%, 49.70%,-, 30.85%,-
05041,28.33%, 9.63%, 58.15%,-, 29.81%,-
05043,28.57%, 26.45%, 55.02%,-, 15.85%,-
05045,45.93%, 20.20%, 66.13%,-, 8.09%,-
05047,48.89%, 14.75%, 63.64%,-, 11.09%,-
05049,10.36%, 34.24%, 44.60%,-, 17.76%,-
05051,25.31%, 14.80%, 51.60%,-, 26.30%,-
05053,53.05%, 17.68%, 70.74%,-, 7.56%,-
05055,47.42%, 14.05%, 61.47%,-, 12.73%,-
05057,15.55%, 31.63%, 47.18%,-, 17.71%,-
05059,34.85%, 20.58%, 55.44%,-, 20.50%,-
05061,32.91%, 24.06%, 56.97%,-, 14.02%,-
05063,36.95%, 18.73%, 55.68%,-, 17.95%,-
05065,46.17%, 18.70%, 64.87%,-, 11.91%,-
05067,17.29%, 31.94%, 49.24%,-, 9.35%,-
05069,28.88%, 18.46%, 52.88%,-, 24.00%,-
05071,45.88%, 12.57%, 61.64%,-, 15.76%,-
05073,33.30%, 23.88%, 57.18%, 1.15%, 17.80%,-
05075,49.41%, 15.15%, 64.56%,-, 11.61%,-
05077,16.45%, 36.10%, 52.55%, 0.81%, 10.53%,-
05079,10.65%, 31.74%, 42.39%,-, 16.52%,-
05081,37.00%, 22.42%, 59.42%,-, 8.41%,-
05083,21.59%, 12.98%, 51.40%,-, 29.81%,-
05085,37.47%, 13.52%, 60.09%,-, 22.62%,-
05087,7.23%, 38.91%, 46.14%,-, 11.44%,-
05089,37.74%, 16.02%, 53.75%,-, 14.51%,-
05091,34.84%, 22.40%, 57.24%,-, 13.19%,-
05093,38.77%, 20.23%, 59.00%,-, 14.08%,-
05095,11.29%, 32.95%, 44.23%,-, 16.56%,-
05097,24.25%, 21.44%, 45.68%,-, 19.59%,-
05099,22.09%, 24.96%, 47.05%,-, 20.78%,-
05101,0.56%, 31.81%, 32.37%,-, 27.57%,-
05103,6.40%, 42.29%, 48.69%,-, 6.99%,-
05105,31.71%, 16.89%, 54.09%,-, 22.38%,-
05107,55.36%, 15.06%, 70.42%, 0.15%, 14.37%,-
05109,24.20%, 29.45%, 53.65%,-, 14.06%,-
05111,35.89%, 18.96%, 54.86%,-, 14.52%,-
05113,19.49%, 11.08%, 47.47%,-, 27.98%,-
05115,37.82%, 13.14%, 59.70%,-, 21.88%,-
05117,22.85%, 31.70%, 54.55%,-, 8.68%,-
05119,29.25%, 16.76%, 54.09%,-, 24.84%,-
05121,46.72%, 16.83%, 63.54%,-, 11.34%,-
05123,26.33%, 29.19%, 55.52%,-, 8.88%,-
05125,54.95%, 13.86%, 68.81%,-, 11.83%,-
05127,33.44%, 16.60%, 51.57%,-, 18.13%,-
05129,4.38%, 34.79%, 39.18%,-, 16.10%,-
05131,40.17%, 12.53%, 58.40%,-, 18.23%,-
05133,46.19%, 13.26%, 60.14%,-, 12.65%,-
05135,45.94%, 10.75%, 64.25%,-, 18.30%,-
05137,36.60%, 18.46%, 55.07%,-, 15.03%,-
05139,63.25%, 10.25%, 73.50%,-, 9.10%,-
05141,32.03%, 19.94%, 52.90%,-, 20.88%,-
05143,41.95%, 18.01%, 59.96%,-, 16.96%,-
05145,38.42%, 15.10%, 57.53%,-, 19.11%,-
05147,25.31%, 27.84%, 53.15%,-, 15.19%,-
05149,37.94%, 17.18%, 55.20%,-, 17.26%,-
06001,10.72%,-, 36.75%, 1.75%, 47.47%,-
06003,2.50%, 10.00%, 42.50%,-, 45.00%,-
06005,37.48%,-, 64.80%, 0.20%, 27.33%, 2.28%
06007,7.52%,-, 45.66%, 0.11%, 38.14%, 5.54%
06009,36.23%,-, 60.51%, 0.16%, 24.28%, 2.14%
06011,34.32%,-, 63.58%, 0.11%, 29.26%, 3.03%
06013,2.98%,-, 39.40%, 0.48%, 42.38%, 2.17%
06015,6.29%,-, 38.32%,-, 44.60%, 4.74%
06017,30.64%,-, 59.04%, 2.38%, 28.40%,-
06019,0.25%,-, 42.96%, 0.47%, 42.71%, 2.85%
06021,17.21%,-, 54.41%, 0.45%, 37.21%, 2.75%
06023,8.44%,-, 33.76%, 1.15%, 42.20%, 2.07%
