01115,x,x,x,"8,710","5,414",62.16%, 79.82%, 17.66%,"6,952","1,538", 220
01117,x,x,x,"11,558","7,531",65.16%, 81.24%, 16.08%,"9,390","1,859", 309
01119,x,x,x,"5,461",51,0.93%, 50.12%, 49.19%,"2,737","2,686", 38
01121,x,x,x,"17,455","8,196",46.96%, 73.12%, 26.16%,"12,763","4,567", 125
01123,x,x,x,"10,843","6,422",59.23%, 78.71%, 19.49%,"8,535","2,113", 195
01125,x,x,x,"30,179","12,900",42.74%, 70.15%, 27.41%,"21,172","8,272", 735
01127,x,x,x,"18,507","10,857",58.66%, 78.79%, 20.12%,"14,581","3,724", 202
01129,x,x,x,"4,392","2,186",49.77%, 74.73%, 24.95%,"3,282","1,096", 14
01131,x,x,x,"5,945",613,10.31%, 54.74%, 44.42%,"3,254","2,641", 50
01133,x,x,x,"5,771","4,192",72.64%, 86.14%, 13.50%,"4,971",779, 21
02013,x,x,x,x,x,x,x,x,0,0,0%
02016,x,x,x,x,x,x,x,x,0,0,0%
02020,x,x,x,x,x,x,x,x,0,0,0%
02050,x,x,x,x,x,x,x,x,0,0,0%
02060,x,x,x,x,x,x,x,x,0,0,0%
02068,x,x,x,x,x,x,x,x,0,0,0%
02070,x,x,x,x,x,x,x,x,0,0,0%
02090,x,x,x,x,x,x,x,x,0,0,0%
02100,x,x,x,x,x,x,x,x,0,0,0%
02105,x,x,x,x,x,x,x,x,0,0,0%
02110,x,x,x,x,x,x,x,x,0,0,0%
02122,x,x,x,x,x,x,x,x,0,0,0%
02130,x,x,x,x,x,x,x,x,0,0,0%
02150,x,x,x,x,x,x,x,x,0,0,0%
02164,x,x,x,x,x,x,x,x,0,0,0%
02170,x,x,x,x,x,x,x,x,0,0,0%
02180,x,x,x,x,x,x,x,x,0,0,0%
02185,x,x,x,x,x,x,x,x,0,0,0%
02188,x,x,x,x,x,x,x,x,0,0,0%
02195,x,x,x,x,x,x,x,x,0,0,0%
02198,x,x,x,x,x,x,x,x,0,0,0%
02220,x,x,x,x,x,x,x,x,0,0,0%
02230,x,x,x,x,x,x,x,x,0,0,0%
02240,x,x,x,x,x,x,x,x,0,0,0%
02261,x,x,x,x,x,x,x,x,0,0,0%
02270,x,x,x,x,x,x,x,x,0,0,0%
02275,x,x,x,x,x,x,x,x,0,0,0%
02282,x,x,x,x,x,x,x,x,0,0,0%
02290,x,x,x,x,x,x,x,x,0,0,0%
04001,x,"6,750",249,3.69%, 50.28%, 46.59%, 2.96%, 0.16%,"3,145",200, 11
04003,x,"18,299","5,683",31.06%, 63.97%, 32.91%, 3.04%, 0.07%,"6,023",557, 13
04005,x,"17,389","4,361",25.08%, 61.02%, 35.94%, 2.95%, 0.09%,"6,250",513, 15
04007,x,"10,372","1,378",13.29%, 54.70%, 41.41%, 3.83%, 0.07%,"4,295",397, 7
04009,x,"5,943","1,712",28.81%, 60.15%, 31.35%, 8.48%, 0.02%,"1,863",504, 1
