statecounty,0.52, 48.38, 47.87, 2.74, 1.02,"50,462,412","2,883,443"," 1,070,320"
02110,x,x,x,x,x,0,0,0
02122,x,x,x,x,x,0,0,0
02130,x,x,x,x,x,0,0,0
02150,x,x,x,x,x,0,0,0
02164,x,x,x,x,x,0,0,0
02170,x,x,x,x,x,0,0,0
02180,x,x,x,x,x,0,0,0
02185,x,x,x,x,x,0,0,0
02188,x,x,x,x,x,0,0,0
02195,x,x,x,x,x,0,0,0
02198,x,x,x,x,x,0,0,0
02220,x,x,x,x,x,0,0,0
02230,x,x,x,x,x,0,0,0
02240,x,x,x,x,x,0,0,0
02261,x,x,x,x,x,0,0,0
02270,x,x,x,x,x,0,0,0
02275,x,x,x,x,x,0,0,0
02282,x,x,x,x,x,0,0,0
02290,x,x,x,x,x,0,0,0
04001,"19,456","7,078",36.38, 66.95, 30.57,"13,025","5,947", 484
04003,14.50, 54.69, 40.19, 3.35, 1.77,"13,360","1,113", 588
04005,6.65, 49.60, 42.96, 6.06, 1.38,"17,562","2,478", 563
04007,8.22, 51.64, 43.41, 2.80, 2.15,"7,700",497, 381
04009,"9,664","2,652",27.44, 62.16, 34.72,"6,007","3,355", 302
04011,13.61, 54.70, 41.08, 2.30, 1.93,"1,216",68, 57
04012,17.27, 56.73, 39.46, 2.03, 1.78,"1,769",91, 80
04013,10.35, 53.23, 42.88, 2.49, 1.40,"386,683","22,465"," 12,584"
04015,15.67, 55.25, 39.58, 3.00, 2.18,"17,470","1,323", 962
04017,2.35, 49.25, 46.90, 2.06, 1.79,"11,794",517, 450
04019,8.03, 51.34, 43.31, 4.30, 1.05,"124,579","12,355"," 3,018"
04021,1.14, 48.73, 47.59, 2.19, 1.49,"19,650",904, 614
04023,21.24, 58.84, 37.60, 2.44, 1.11,"3,344",217, 99
04025,23.57, 58.84, 35.27, 4.01, 1.89,"24,063","2,733"," 1,288"
04027,"28,652","3,653",12.75, 54.82, 42.07,"15,708","12,055", 889
05001,"6,372",476,7.47, 52.62, 45.15,"3,353","2,877", 142
05003,"8,271",377,4.56, 51.42, 46.86,"4,253","3,876", 142
