statecounty,margin,nixon,humphrey,wallace
20035,20.56, 54.30, 33.74, 11.78
20037,0.94, 45.30, 44.35, 10.20
20039,39.83, 65.74, 25.91, 8.19
20041,36.64, 64.32, 27.68, 7.79
20043,38.06, 63.31, 25.25, 11.20
20045,18.37, 53.79, 35.42, 10.62
20047,18.15, 54.90, 36.75, 8.04
20049,40.14, 64.64, 24.50, 10.52
20051,1.60, 46.72, 45.12, 7.95
20053,23.19, 57.53, 34.34, 7.97
20055,12.24, 52.11, 39.87, 7.84
20057,16.53, 52.80, 36.27, 10.63
20059,28.54, 59.17, 30.63, 10.01
20061,12.46, 50.70, 38.24, 10.73
20063,27.84, 59.05, 31.21, 9.51
20065,33.01, 60.72, 27.72, 11.28
20067,25.65, 57.16, 31.51, 11.07
20069,19.73, 55.25, 35.52, 8.76
20071,30.63, 59.85, 29.21, 10.55
20073,40.78, 65.99, 25.21, 8.56
20075,25.54, 56.25, 30.71, 12.73
20077,36.36, 63.99, 27.63, 8.08
20079,30.73, 61.64, 30.91, 7.19
20081,20.33, 54.16, 33.83, 11.87
20083,28.90, 59.20, 30.31, 10.18
20085,32.94, 60.71, 27.77, 11.36
20087,29.01, 56.58, 27.57, 15.75
20089,40.52, 66.18, 25.66, 7.68
20091,33.02, 62.63, 29.61, 7.55
20093,23.97, 58.00, 34.03, 7.64
20095,29.05, 60.29, 31.24, 8.30
20097,47.90, 70.87, 22.97, 5.87
20099,14.22, 51.19, 36.97, 11.64
20101,30.75, 60.64, 29.89, 9.16
20103,10.48, 48.35, 37.87, 13.66
20105,45.07, 68.16, 23.09, 8.59
20107,38.06, 63.11, 25.05, 11.75
20109,40.38, 63.78, 23.41, 12.59
20111,22.17, 57.30, 35.12, 7.40
20113,35.70, 64.98, 29.28, 5.50
20115,45.85, 70.37, 24.52, 4.99
20117,28.94, 58.85, 29.91, 11.22
20119,41.17, 66.24, 25.08, 8.59
20121,11.85, 48.93, 37.08, 13.85
20123,33.26, 62.89, 29.63, 7.33
20125,25.81, 55.77, 29.97, 14.13
20127,29.78, 60.00, 30.22, 9.69
20129,19.55, 51.03, 31.48, 17.36
20131,19.39, 54.01, 34.62, 11.29
20133,16.41, 52.92, 36.51, 10.50
20135,25.19, 58.23, 33.03, 8.27
20137,47.46, 70.91, 23.45, 5.38
20139,26.56, 56.15, 29.60, 14.09
20141,40.38, 65.39, 25.02, 9.50
20143,34.68, 62.66, 27.98, 9.11
20145,16.52, 54.19, 37.67, 7.98
20147,45.84, 68.29, 22.45, 9.04
20149,37.02, 63.68, 26.67, 9.55
20151,25.59, 57.91, 32.31, 9.43
20153,40.56, 65.90, 25.34, 7.01
20155,8.23, 50.29, 42.06, 7.28
20157,38.57, 66.25, 27.68, 5.60
20159,19.55, 56.23, 36.68, 6.91
20161,30.26, 62.17, 31.91, 5.78
20163,34.70, 63.01, 28.32, 8.59
20165,23.71, 57.46, 33.75, 8.48
20167,40.43, 67.04, 26.61, 6.12
20169,18.06, 55.43, 37.37, 6.95
20171,42.14, 66.25, 24.11, 9.31
20173,14.31, 51.80, 37.49, 10.43
20175,36.07, 62.32, 26.25, 11.18
20177,15.71, 52.03, 36.32, 11.39
20179,25.57, 58.36, 32.79, 8.39
20181,27.09, 57.53, 30.44, 11.74
20183,42.72, 67.49, 24.78, 7.36
20185,19.46, 55.75, 36.30, 7.62
20187,27.83, 59.52, 31.68, 8.58
20189,31.74, 58.38, 26.64, 14.93
20191,19.96, 54.48, 34.52, 10.81
20193,27.22, 59.82, 32.59, 7.31
20195,28.49, 58.67, 30.18, 10.95
20197,41.63, 64.17, 22.54, 13.04
20199,37.75, 61.54, 23.79, 14.57
20201,43.98, 68.29, 24.31, 7.14
20203,31.34, 60.37, 29.03, 10.37
20205,39.15, 63.35, 24.20, 12.14
20207,35.03, 62.63, 27.60, 9.59
20209,16.04, 33.38, 49.43, 16.64
21001,34.44, 59.43, 24.99, 15.49
21003,42.28, 61.63, 19.35, 18.89
21005,7.23, 44.33, 37.10, 18.27
21007,12.63, 16.38, 47.39, 34.76
21009,7.58, 42.84, 35.25, 21.78
21011,3.51, 38.34, 41.85, 19.75
21013,7.46, 47.74, 40.27, 11.72
21015,14.98, 45.09, 30.11, 24.75
21017,13.15, 33.85, 47.00, 18.74
21019,3.78, 45.43, 41.65, 12.86
21021,0.77, 40.29, 39.52, 20.12
21023,1.76, 40.81, 39.06, 20.06
21025,34.05, 29.09, 63.15, 7.72
21027,12.86, 47.32, 34.46, 18.17
21029,0.71, 31.14, 33.84, 34.55
21031,49.05, 66.47, 17.42, 15.98
21033,13.82, 42.23, 28.41, 28.15
21035,13.61, 30.78, 44.39, 24.76
21037,13.95, 48.51, 34.56, 16.84
21039,13.82, 19.65, 46.92, 33.10
21041,28.46, 27.54, 56.00, 16.31
21043,13.67, 49.67, 36.00, 14.22
21045,53.85, 70.64, 16.79, 12.40
21047,1.95, 30.03, 33.94, 35.89
21049,4.60, 39.63, 35.03, 25.29
21051,55.61, 75.16, 19.55, 5.27
21053,58.51, 75.09, 16.58, 8.18
21055,31.25, 54.97, 23.72, 21.17
21057,47.12, 67.82, 20.71, 11.38
21059,0.65, 40.22, 39.56, 19.95
21061,45.95, 65.44, 19.49, 14.81
21063,39.89, 23.56, 63.45, 12.81
21065,23.36, 53.57, 30.21, 16.17
21067,15.97, 49.53, 33.55, 16.58
21069,19.53, 53.28, 33.74, 12.84
21071,36.67, 27.22, 63.89, 8.82
21073,17.77, 30.82, 48.58, 20.17
21075,8.43, 28.26, 31.53, 39.97
21077,19.33, 29.35, 48.69, 21.61
21079,30.69, 56.15, 25.46, 17.19
21081,6.16, 39.35, 33.19, 26.72
21083,10.43, 26.52, 41.78, 31.35
21085,34.04, 61.14, 27.10, 11.16
21087,34.65, 58.71, 24.05, 17.07
21089,0.08, 43.68, 43.60, 12.69
21091,7.75, 44.70, 36.94, 17.85
21093,6.74, 41.84, 35.09, 22.34
21095,13.89, 34.96, 48.86, 16.05
21097,15.18, 33.75, 48.93, 17.30
21099,21.13, 51.37, 30.23, 18.27
21101,14.45, 32.74, 47.19, 19.88
21103,17.82, 32.04, 49.86, 17.92
21105,10.20, 23.19, 32.76, 42.96
21107,5.06, 31.94, 37.00, 30.90
21109,75.84, 84.09, 8.25, 7.57
21111,2.56, 43.09, 40.53, 15.97
21113,17.46, 45.46, 25.94, 28.00
21115,29.13, 61.90, 32.77, 5.26
21117,6.59, 43.64, 37.05, 19.24
21119,45.96, 22.56, 68.52, 8.79
21121,28.23, 57.77, 29.55, 12.43
21123,15.68, 47.78, 32.10, 19.91
21125,48.59, 67.57, 18.98, 13.36
21127,2.85, 45.80, 42.95, 11.20
21129,28.94, 58.27, 29.33, 12.40
21131,48.57, 71.08, 22.51, 6.41
21133,3.34, 42.30, 45.64, 12.00
21135,40.94, 64.83, 23.89, 11.09
21137,15.66, 47.45, 31.79, 20.67
21139,5.84, 32.63, 38.46, 28.82
21141,0.73, 39.16, 38.44, 21.65
21143,5.16, 29.88, 37.10, 31.94
21145,17.89, 27.33, 45.21, 26.97
21147,48.39, 67.61, 19.22, 12.13
21149,0.03, 35.73, 35.76, 28.23
21151,12.13, 44.83, 32.70, 21.54
21153,0.97, 47.71, 46.74, 5.55
21155,16.63, 33.02, 49.65, 17.31
21157,10.97, 30.70, 41.67, 27.56
21159,41.69, 68.42, 26.73, 4.79
21161,1.69, 40.50, 42.19, 17.21
21163,12.88, 32.98, 45.86, 21.10
21165,3.42, 38.65, 42.07, 18.75
21167,8.54, 43.07, 34.54, 21.73
21169,18.55, 51.41, 32.86, 15.40
21171,63.16, 76.06, 12.90, 10.98
21173,15.64, 46.87, 31.23, 21.74
21175,22.24, 33.86, 56.10, 10.05
21177,1.69, 39.52, 37.83, 22.54
21179,15.14, 34.31, 49.45, 15.96
21181,9.02, 35.16, 44.18, 20.03
21183,27.96, 54.16, 26.20, 19.52
21185,6.41, 41.45, 35.04, 23.47
21187,24.92, 26.39, 51.31, 22.24
21189,59.35, 75.49, 16.14, 8.36
21191,12.96, 45.68, 32.72, 21.51
21193,5.96, 41.85, 47.81, 10.30
21195,12.22, 39.56, 51.78, 8.58
21197,8.20, 42.57, 34.36, 22.99
