statecounty,margin,nixon,humphrey,wallace
27121,1.64, 46.65, 48.29, 4.94
27123,29.90, 32.75, 62.64, 4.37
27125,32.31, 30.97, 63.29, 5.61
27127,15.66, 55.29, 39.63, 4.98
27129,2.89, 48.67, 45.78, 5.48
27131,4.88, 45.94, 50.82, 3.11
27133,18.09, 56.87, 38.78, 4.32
27135,11.94, 40.68, 52.61, 6.47
27137,45.47, 25.52, 70.99, 3.20
27139,17.10, 39.13, 56.23, 4.56
27141,11.28, 41.51, 52.80, 5.60
27143,23.90, 59.41, 35.50, 5.05
27145,1.69, 45.93, 47.62, 6.20
27147,13.96, 55.34, 41.39, 3.20
27149,6.18, 50.57, 44.39, 4.86
27151,19.22, 38.38, 57.60, 3.83
27153,9.42, 51.62, 42.20, 6.05
27155,12.71, 41.41, 54.12, 4.44
27157,7.98, 51.75, 43.77, 4.39
27159,13.26, 54.07, 40.81, 4.99
27161,16.24, 56.44, 40.20, 3.21
27163,19.09, 37.72, 56.81, 5.27
27165,11.58, 53.57, 41.99, 4.32
27167,2.18, 48.91, 46.72, 4.35
27169,3.61, 45.85, 49.46, 4.48
27171,15.69, 40.13, 55.82, 3.98
27173,7.46, 43.34, 50.81, 5.75
28001,11.84, 10.93, 38.62, 50.46
28003,49.47, 19.16, 12.21, 68.63
28005,32.60, 7.66, 29.87, 62.47
28007,45.78, 8.60, 22.81, 68.59
28009,29.27, 6.94, 31.89, 61.16
28011,2.80, 15.56, 40.82, 43.62
28013,80.63, 7.17, 5.02, 87.80
28015,37.76, 4.32, 28.96, 66.72
28017,64.73, 7.38, 13.95, 78.68
28019,67.05, 6.65, 13.15, 80.20
28021,28.16, 6.57, 60.79, 32.64
28023,61.89, 5.53, 16.29, 78.18
28025,36.21, 8.97, 27.41, 63.62
28027,15.42, 17.20, 49.11, 33.69
28029,26.58, 8.40, 32.51, 59.09
28031,61.97, 9.26, 14.38, 76.35
28033,41.36, 13.10, 22.77, 64.13
28035,41.17, 20.30, 18.22, 61.48
28037,47.85, 6.71, 22.72, 70.57
28039,86.31, 3.91, 4.89, 91.20
28041,69.02, 3.97, 13.50, 82.53
28043,32.17, 10.11, 28.86, 61.03
28045,49.78, 17.63, 14.96, 67.41
28047,39.71, 22.37, 15.55, 62.08
28049,28.79, 22.21, 24.50, 53.29
28051,11.78, 7.02, 52.38, 40.60
28053,25.69, 7.11, 33.60, 59.29
28055,0.63, 3.98, 47.69, 48.33
28057,74.88, 9.19, 6.74, 84.07
28059,60.27, 14.39, 10.94, 74.67
28061,47.38, 8.36, 22.13, 69.51
28063,29.85, 4.35, 62.75, 32.90
28065,26.26, 6.79, 33.48, 59.73
28067,50.21, 18.02, 13.76, 68.22
28069,55.94, 4.98, 19.54, 75.48
28071,28.51, 20.11, 25.69, 54.20
28073,72.87, 10.27, 6.60, 83.14
28075,57.19, 11.43, 15.69, 72.88
28077,53.54, 8.45, 19.00, 72.55
28079,51.82, 7.17, 20.50, 72.32
28081,49.10, 18.45, 13.99, 67.55
28083,11.57, 13.02, 37.71, 49.28
28085,57.38, 10.66, 15.98, 73.36
28087,41.72, 17.85, 20.22, 61.94
28089,4.69, 9.26, 47.72, 43.02
28091,49.51, 9.16, 20.66, 70.18
28093,1.80, 9.19, 46.30, 44.50
28095,60.31, 11.08, 14.30, 74.61
28097,47.99, 10.90, 20.56, 68.55
28099,71.02, 6.79, 11.09, 82.11
28101,68.99, 7.85, 11.58, 80.57
28103,17.85, 6.34, 37.91, 55.75
28105,31.83, 17.65, 25.26, 57.09
28107,17.43, 13.77, 34.40, 51.83
28109,57.43, 15.69, 11.19, 73.12
28111,65.54, 7.08, 13.69, 79.23
28113,29.53, 14.38, 28.05, 57.57
28115,66.31, 11.96, 9.77, 78.27
28117,69.67, 11.63, 7.08, 81.30
28119,21.49, 9.91, 34.30, 55.79
28121,58.82, 9.12, 16.03, 74.85
28123,59.52, 8.93, 15.77, 75.30
28125,8.97, 10.34, 40.35, 49.32
28127,56.78, 12.47, 15.37, 72.16
28129,76.22, 8.48, 6.83, 84.70
28131,67.33, 9.51, 11.58, 78.91
28133,17.57, 13.69, 34.37, 51.94
28135,31.17, 11.25, 28.79, 59.96
28137,36.01, 13.22, 25.39, 61.39
28139,67.43, 10.02, 11.28, 78.70
28141,71.28, 11.13, 6.46, 82.41
28143,15.03, 17.73, 48.65, 33.62
28145,62.78, 14.00, 9.22, 76.78
28147,40.64, 8.05, 25.66, 66.29
28149,19.23, 16.95, 31.91, 51.14
28151,5.09, 22.85, 36.03, 41.12
28153,66.01, 4.87, 14.56, 80.57
28155,76.26, 8.20, 7.33, 84.46
28157,16.36, 6.94, 54.71, 38.35
28159,61.51, 8.39, 15.05, 76.56
28161,44.52, 13.51, 20.99, 65.50
28163,34.44, 11.89, 26.84, 61.28
29001,25.17, 58.82, 33.65, 7.53
29003,24.18, 58.97, 34.80, 6.23
29005,10.57, 51.36, 40.79, 7.85
29007,1.84, 46.24, 44.41, 9.35
29009,22.07, 57.12, 35.06, 7.82
29011,20.84, 55.68, 34.84, 9.49
29013,8.68, 49.49, 40.81, 9.70
29015,32.77, 61.13, 28.36, 10.50
29017,12.94, 50.08, 37.14, 12.79
29019,0.57, 46.36, 45.80, 7.84
29021,0.69, 46.38, 45.69, 7.93
29023,14.46, 46.98, 32.52, 20.49
29025,25.07, 57.81, 32.74, 9.45
29027,5.80, 46.03, 40.23, 13.73
29029,33.03, 61.00, 27.97, 11.03
29031,18.87, 53.34, 34.48, 12.18
29033,17.76, 54.13, 36.38, 9.49
29035,6.51, 45.60, 39.09, 15.31
29037,6.88, 45.14, 38.26, 16.60
29039,37.53, 64.08, 26.55, 9.37
29041,0.62, 45.50, 44.87, 9.63
29043,39.00, 64.43, 25.42, 10.15
29045,15.78, 53.55, 37.77, 8.68
29047,4.75, 44.48, 39.73, 15.79
29049,2.31, 45.82, 43.51, 10.67
29051,29.60, 60.55, 30.95, 8.50
29053,17.69, 55.29, 37.59, 7.12
29055,22.19, 55.78, 33.60, 10.62
29057,38.12, 64.34, 26.22, 9.44
29059,35.22, 62.49, 27.26, 10.25
29061,14.24, 53.23, 38.99, 7.77
29063,17.15, 54.87, 37.72, 7.40
29065,12.03, 50.97, 38.94, 10.09
29067,43.97, 67.11, 23.14, 9.75
29069,5.65, 35.40, 41.06, 23.54
29071,11.66, 50.77, 39.10, 10.13
29073,55.45, 74.64, 19.19, 6.17
29075,2.07, 48.73, 46.66, 4.60
29077,21.98, 55.27, 33.29, 11.43
29079,22.06, 57.29, 35.24, 7.47
29081,27.04, 59.55, 32.51, 7.94
29083,3.87, 47.68, 43.82, 8.50
29085,42.47, 66.55, 24.08, 9.37
29087,22.65, 56.09, 33.44, 10.47
29089,10.89, 39.12, 50.01, 10.87
29091,29.15, 57.24, 28.08, 14.68
29093,4.03, 41.60, 45.63, 12.77
29095,9.07, 39.22, 48.30, 12.48
29097,18.76, 54.24, 35.49, 10.27
29099,4.90, 37.70, 42.60, 19.69
29101,14.46, 51.78, 37.32, 10.90
29103,9.62, 49.29, 39.67, 11.04
29105,21.94, 56.06, 34.12, 9.83
29107,15.47, 53.42, 37.95, 8.63
29109,27.30, 59.73, 32.42, 7.85
29111,0.62, 43.90, 44.53, 11.57
29113,0.56, 41.78, 41.21, 17.01
29115,1.67, 46.05, 47.72, 6.22
29117,4.61, 48.99, 44.38, 6.63
29119,14.20, 51.32, 37.12, 11.55
29121,4.23, 47.04, 42.81, 10.15
29123,14.95, 50.33, 35.37, 14.30
29125,8.36, 47.52, 39.16, 13.32
29127,6.02, 41.62, 47.64, 10.74
29129,26.92, 60.76, 33.84, 5.40
29131,39.56, 64.88, 25.32, 9.79
29133,13.74, 26.82, 43.46, 29.72
29135,27.78, 58.54, 30.77, 10.69
29137,30.75, 29.07, 59.81, 11.12
29139,18.68, 53.59, 34.91, 11.50
29141,24.85, 57.44, 32.60, 9.96
29143,12.75, 24.40, 44.18, 31.42
29145,16.41, 52.87, 36.46, 10.66
29147,2.46, 48.11, 45.65, 6.25
29149,14.39, 34.03, 48.43, 17.54
29151,31.09, 61.63, 30.55, 7.82
29153,47.31, 68.37, 21.06, 10.57
29155,3.44, 28.01, 34.28, 37.71
29157,30.26, 61.45, 31.19, 7.36
29159,2.76, 46.08, 43.32, 10.59
29161,11.59, 47.33, 35.74, 16.93
29163,1.70, 43.47, 45.17, 11.36
29165,1.51, 42.74, 41.22, 16.04
29167,28.50, 59.82, 31.32, 8.86
29169,4.52, 45.82, 41.30, 12.88
29171,32.96, 63.75, 30.79, 5.47
29173,20.41, 33.07, 53.48, 13.45
29175,13.23, 38.58, 51.80, 9.62
29177,13.24, 35.90, 49.14, 14.96
29179,13.44, 34.79, 48.24, 16.97
29181,13.03, 48.24, 35.21, 16.55
29183,10.65, 45.63, 34.98, 19.39
29185,18.55, 54.36, 35.81, 9.84
29186,6.26, 42.09, 48.35, 9.56
29187,7.07, 47.60, 40.53, 11.86
29189,3.78, 46.80, 43.02, 10.18
29195,0.52, 46.76, 46.24, 7.01
29197,13.26, 53.17, 39.91, 6.92
29199,6.89, 50.06, 43.17, 6.77
29201,4.29, 36.23, 40.52, 23.25
29203,6.20, 38.67, 44.87, 16.46
29205,8.59, 41.33, 49.93, 8.74
29207,8.72, 44.43, 35.71, 19.85
29209,44.84, 67.32, 22.49, 10.19
29211,9.52, 52.24, 42.72, 5.04
29213,42.06, 66.82, 24.77, 8.41
29215,11.15, 49.53, 38.39, 12.08
29217,0.42, 45.27, 44.85, 9.87
29219,38.34, 62.55, 24.21, 13.24
29221,6.11, 46.26, 40.15, 13.59
29223,9.80, 47.79, 38.00, 14.21
29225,21.71, 56.90, 35.19, 7.90
29227,3.73, 48.55, 44.82, 6.62
29229,41.46, 66.22, 24.76, 9.02
29510,38.37, 26.37, 64.74, 8.90
30001,33.58, 61.04, 27.46, 11.49
30003,14.15, 53.87, 39.72, 6.29
30005,3.50, 48.63, 45.12, 6.21
30007,18.77, 54.29, 35.52, 10.11
30009,17.26, 54.98, 37.72, 7.19
30011,35.39, 62.21, 26.82, 10.97
30013,7.16, 43.23, 50.39, 5.74
30015,15.16, 53.66, 38.49, 7.82
30017,21.96, 58.06, 36.10, 5.64
30019,8.71, 52.15, 43.43, 4.36
30021,20.91, 58.01, 37.11, 4.82
30023,43.69, 25.58, 69.28, 5.07
30025,32.78, 63.26, 30.48, 6.20
30027,21.41, 55.59, 34.18, 10.17
30029,14.01, 51.54, 37.52, 10.89
30031,30.18, 62.06, 31.88, 5.89
30033,41.71, 64.22, 22.51, 13.27
30035,2.18, 44.76, 46.94, 8.04
30037,24.95, 60.04, 35.08, 4.70
30039,9.82, 49.56, 39.75, 10.69
30041,6.24, 44.53, 50.77, 4.57
30043,1.24, 45.06, 46.30, 8.58
30045,13.06, 53.03, 39.97, 6.99
30047,23.37, 55.98, 32.61, 11.32
30049,18.42, 56.53, 38.11, 5.12
30051,24.48, 58.57, 34.09, 7.26
30053,5.55, 40.55, 46.10, 13.17
30055,10.25, 52.17, 41.92, 5.84
30057,24.28, 56.39, 32.11, 11.42
30059,37.66, 62.92, 25.26, 11.82
30061,7.96, 41.32, 49.27, 9.24
30063,6.64, 48.02, 41.39, 8.07
30065,8.48, 51.15, 42.67, 5.96
30067,23.37, 57.36, 33.99, 8.61
30069,33.73, 62.99, 29.25, 7.76
30071,9.61, 51.41, 41.79, 6.72
30073,13.19, 52.98, 39.79, 7.10
30075,40.99, 64.96, 23.98, 10.97
30077,3.47, 47.50, 44.03, 8.43
30079,38.95, 67.77, 28.82, 3.20
30081,18.45, 53.25, 34.80, 11.86
30083,24.45, 59.29, 34.84, 5.68
30085,4.53, 50.12, 45.59, 4.17
30087,22.71, 56.42, 33.71, 9.67
30089,7.24, 48.70, 41.46, 9.75
30091,3.69, 45.81, 49.50, 4.46
30093,36.39, 27.98, 64.36, 5.71
30095,30.49, 61.20, 30.71, 8.04
30097,47.45, 70.00, 22.55, 7.38
30099,15.09, 54.58, 39.50, 5.76
30101,13.26, 51.96, 38.70, 9.19
30103,20.87, 56.55, 35.67, 7.78
30105,7.86, 49.44, 41.58, 8.48
30107,11.38, 51.77, 40.38, 7.77
30109,14.50, 52.98, 38.47, 8.55
30111,24.27, 58.77, 34.50, 6.27
31001,32.27, 63.29, 31.02, 5.69
31003,45.01, 68.13, 23.12, 8.74
31005,61.07, 77.86, 16.79, 5.36
31007,56.62, 71.28, 14.66, 14.05
31009,64.67, 79.45, 14.78, 5.77
31011,36.57, 64.01, 27.44, 8.55
31013,41.45, 67.47, 26.02, 6.51
31015,42.04, 64.63, 22.60, 12.77
31017,51.90, 71.62, 19.72, 8.66
31019,37.63, 65.29, 27.66, 7.05
31021,43.98, 68.55, 24.56, 6.89
31023,2.90, 46.84, 43.94, 9.22
31025,26.15, 57.61, 31.45, 10.94
31027,30.39, 61.53, 31.14, 7.33
31029,46.79, 67.81, 21.02, 11.18
31031,53.85, 73.23, 19.38, 7.39
31033,41.92, 65.95, 24.03, 10.02
31035,39.19, 66.58, 27.39, 6.03
31037,37.94, 64.48, 26.55, 8.97
31039,51.71, 72.55, 20.85, 6.60
31041,47.58, 70.52, 22.94, 6.54
31043,20.00, 56.60, 36.60, 6.79
31045,51.44, 71.94, 20.50, 7.55
31047,49.72, 71.97, 22.25, 5.78
31049,56.38, 75.25, 18.87, 5.89
31051,37.16, 65.65, 28.49, 5.86
31053,34.06, 63.78, 29.72, 6.51
31055,13.26, 50.89, 37.63, 11.47
31057,53.24, 72.01, 18.78, 9.21
31059,24.67, 59.60, 34.93, 5.47
31061,36.90, 65.03, 28.13, 6.83
31063,49.73, 70.21, 20.47, 9.32
31065,46.91, 69.81, 22.90, 7.29
31067,17.96, 55.73, 37.77, 6.50
31069,64.14, 78.60, 14.46, 6.95
31071,58.87, 76.41, 17.55, 6.04
31073,47.82, 71.02, 23.20, 5.78
31075,54.70, 74.94, 20.24, 4.82
31077,8.11, 50.03, 41.92, 8.05
31079,28.04, 61.01, 32.98, 6.01
31081,45.81, 70.94, 25.12, 3.94
31083,37.40, 64.03, 26.63, 9.34
31085,53.02, 71.26, 18.25, 10.49
31087,44.84, 66.91, 22.08, 11.01
31089,40.60, 66.02, 25.42, 8.55
31091,78.89, 87.94, 9.05, 3.02
31093,10.35, 51.37, 41.02, 7.61
31095,26.33, 60.23, 33.90, 5.87
31097,30.18, 60.76, 30.58, 8.66
31099,34.76, 64.00, 29.23, 6.77
31101,47.77, 70.91, 23.15, 5.94
31103,61.16, 76.96, 15.80, 7.25
31105,48.65, 68.61, 19.96, 11.43
31107,43.55, 68.20, 24.65, 7.15
31109,15.98, 55.52, 39.54, 4.94
31111,24.39, 58.39, 34.00, 7.62
31113,42.60, 66.36, 23.77, 9.87
31115,61.66, 76.44, 14.78, 8.78
31117,63.23, 76.13, 12.90, 10.97
31119,46.81, 70.35, 23.54, 6.11
31121,38.63, 65.88, 27.25, 6.88
31123,45.42, 66.46, 21.04, 12.49
31125,29.52, 60.79, 31.27, 7.94
31127,35.12, 63.47, 28.35, 8.18
31129,24.02, 59.32, 35.30, 5.39
31131,40.05, 65.96, 25.90, 8.14
31133,31.22, 60.30, 29.08, 10.62
31135,48.73, 70.52, 21.79, 7.69
31137,53.05, 73.39, 20.35, 6.26
31139,52.88, 73.44, 20.56, 6.01
31141,29.40, 60.69, 31.29, 8.01
31143,41.14, 66.83, 25.69, 7.48
31145,41.99, 67.02, 25.03, 7.96
31147,29.37, 59.66, 30.30, 10.04
31149,62.56, 76.72, 14.16, 9.12
31151,3.86, 44.73, 48.59, 6.69
31153,21.91, 52.48, 30.57, 16.96
31155,24.08, 57.39, 33.31, 9.31
31157,42.98, 67.17, 24.19, 8.64
31159,26.41, 60.59, 34.18, 5.24
31161,60.80, 76.29, 15.49, 8.22
31163,5.24, 48.09, 42.85, 9.06
31165,51.58, 71.43, 19.85, 8.72
31167,50.53, 71.36, 20.83, 7.81
31169,35.58, 65.31, 29.73, 4.96
31171,60.30, 76.79, 16.49, 6.72
31173,22.91, 56.99, 34.08, 8.92
31175,35.37, 64.41, 29.04, 6.55
31177,36.91, 63.36, 26.46, 10.18
31179,50.45, 72.53, 22.08, 5.39
31181,29.74, 61.13, 31.39, 7.48
31183,38.17, 64.21, 26.04, 9.74
31185,49.57, 72.39, 22.83, 4.78
32001,19.87, 52.25, 32.38, 15.37
32003,2.27, 41.99, 44.26, 13.75
32005,40.42, 64.37, 23.95, 11.69
32007,20.30, 54.48, 34.18, 11.33
32009,5.67, 39.09, 33.43, 27.48
32011,26.12, 56.53, 30.41, 13.06
32013,15.92, 50.97, 35.05, 13.98
32015,17.60, 50.72, 33.11, 16.17
32017,12.67, 49.87, 37.20, 12.94
32019,22.57, 53.88, 31.31, 14.80
32021,10.98, 32.31, 43.29, 24.40
32023,5.55, 40.70, 35.15, 24.14
32027,8.33, 46.74, 38.42, 14.84
32029,11.26, 50.00, 38.74, 11.26
32031,20.78, 54.65, 33.87, 11.48
32033,9.54, 40.65, 50.19, 9.15
32510,24.98, 56.58, 31.60, 11.82
33001,26.30, 61.42, 35.12, 3.23
33003,49.72, 72.93, 23.22, 3.74
33005,7.71, 52.64, 44.93, 2.17
33007,9.29, 44.02, 53.31, 2.57
33009,23.51, 59.76, 36.25, 3.37
33011,3.27, 46.01, 49.28, 4.59
33013,19.76, 57.94, 38.18, 3.61
33015,14.58, 54.98, 40.41, 4.45
33017,2.67, 47.28, 49.95, 2.47
33019,2.25, 49.43, 47.19, 3.16
34001,3.56, 42.15, 45.71, 9.67
34003,15.19, 54.45, 39.27, 5.73
34005,4.54, 46.29, 41.76, 11.66
34007,5.14, 41.10, 46.24, 12.24
34009,18.83, 53.14, 34.30, 12.42
34011,7.20, 40.42, 47.62, 11.77
34013,12.70, 39.23, 51.93, 7.51
34015,4.59, 44.52, 39.92, 15.46
34017,13.75, 37.34, 51.09, 9.46
34019,25.86, 57.77, 31.91, 10.02
34021,14.23, 36.13, 50.36, 12.83
34023,3.03, 42.79, 45.82, 10.70
34025,10.35, 51.22, 40.87, 7.65
34027,22.36, 57.75, 35.39, 6.52
34029,19.35, 53.87, 34.52, 10.93
34031,3.14, 46.25, 43.12, 9.62
34033,0.90, 43.45, 42.56, 13.89
34035,18.96, 54.11, 35.14, 9.34
34037,33.24, 61.71, 28.47, 9.72
34039,0.26, 45.72, 45.46, 8.27
34041,3.89, 48.13, 44.24, 7.56
35001,15.05, 54.96, 39.91, 4.81
35003,36.60, 62.29, 25.69, 11.83
35005,37.70, 63.61, 25.91, 10.22
35006,0,-,-,-
35007,5.32, 44.39, 49.71, 5.28
35009,25.69, 53.99, 28.30, 17.03
35011,27.43, 57.67, 30.24, 11.39
35013,15.84, 54.15, 38.31, 7.27
35015,7.30, 47.74, 40.44, 11.09
35017,12.04, 38.52, 50.56, 10.50
35019,6.52, 51.42, 44.91, 3.37
35021,21.28, 57.69, 36.41, 5.64
35023,4.66, 39.25, 43.91, 16.65
35025,17.32, 48.21, 30.89, 19.67
35027,38.70, 64.52, 25.82, 9.24
35028,14.26, 54.92, 40.66, 4.27
35029,13.19, 50.10, 36.91, 12.58
35031,1.20, 45.71, 46.91, 5.71
35033,3.80, 50.97, 47.18,-
35035,4.86, 43.77, 38.91, 16.51
35037,17.52, 51.38, 33.86, 13.72
35039,9.49, 43.23, 52.72, 2.96
35041,30.50, 58.11, 27.61, 13.80
35043,13.75, 41.43, 55.18, 2.73
35045,25.58, 54.03, 28.45, 16.24
35047,0.73, 48.12, 48.85, 2.33
35049,0.95, 48.12, 49.07, 2.53
35051,24.39, 57.06, 32.68, 9.91
35053,8.38, 52.07, 43.68, 4.04
35055,2.02, 49.89, 47.87,-
35057,13.77, 52.98, 39.21, 7.57
35059,24.54, 55.42, 30.87, 12.70
35061,1.36, 47.51, 46.15, 5.92
36001,19.93, 38.00, 57.93, 3.61
36003,36.37, 65.45, 29.08, 4.96
36005,30.39, 32.02, 62.40, 4.94
36007,10.55, 52.48, 41.93, 5.17
36009,12.40, 53.27, 40.88, 5.37
36011,4.78, 49.49, 44.71, 5.59
36013,3.64, 48.82, 45.18, 5.59
36015,12.32, 52.32, 40.00, 7.10
36017,32.94, 63.86, 30.92, 4.81
36019,7.76, 51.58, 43.82, 4.02
36021,26.40, 60.03, 33.62, 5.94
36023,26.30, 60.76, 34.47, 4.29
36025,37.07, 65.44, 28.36, 5.93
36027,17.07, 54.87, 37.80, 6.90
36029,18.14, 37.04, 55.18, 7.37
36031,27.09, 61.07, 33.98, 4.57
36033,10.49, 53.29, 42.80, 3.49
36035,13.86, 54.52, 40.66, 4.53
36037,12.46, 53.64, 41.18, 4.93
36039,30.31, 60.87, 30.56, 7.90
36041,44.58, 69.54, 24.96, 5.34
36043,15.37, 54.91, 39.54, 5.26
36045,15.45, 56.03, 40.59, 3.07
36047,31.13, 31.99, 63.12, 4.33
36049,25.26, 60.17, 34.91, 4.68
36051,23.93, 59.75, 35.82, 3.97
36053,30.73, 62.79, 32.06, 4.78
36055,0.61, 48.27, 47.66, 3.66
36057,4.42, 49.75, 45.33, 4.54
36059,7.96, 51.27, 43.31, 4.80
36061,44.46, 25.59, 70.04, 2.45
36063,3.64, 44.12, 47.77, 7.53
36065,7.89, 50.96, 43.07, 5.46
36067,6.44, 50.46, 44.02, 4.98
36069,17.92, 56.86, 38.94, 3.92
36071,21.00, 56.09, 35.09, 8.08
36073,26.55, 60.67, 34.13, 4.96
36075,14.67, 54.39, 39.72, 5.33
36077,24.51, 59.67, 35.16, 4.81
36079,19.83, 54.67, 34.84, 9.82
36081,13.57, 40.03, 53.60, 5.77
36083,6.47, 50.49, 44.02, 5.04
36085,20.10, 55.28, 35.18, 9.22
36087,4.72, 49.07, 44.35, 6.04
36089,14.02, 55.31, 41.29, 3.11
36091,17.19, 55.87, 38.69, 4.83
36093,1.53, 46.79, 48.31, 4.51
36095,21.18, 57.21, 36.03, 6.39
36097,30.93, 61.31, 30.38, 7.80
36099,14.31, 54.46, 40.15, 4.88
36101,30.91, 62.52, 31.61, 5.67
36103,25.47, 58.18, 32.71, 8.35
36105,3.29, 48.17, 44.88, 6.15
36107,30.11, 61.58, 31.47, 6.65
36109,12.29, 53.26, 40.97, 4.90
36111,23.04, 57.62, 34.59, 6.93
36113,32.07, 63.92, 31.85, 3.98
36115,28.63, 61.71, 33.09, 4.52
36117,30.93, 63.09, 32.17, 4.37
36119,6.91, 50.31, 43.40, 5.52
36121,28.93, 61.45, 32.52, 5.80
36123,40.95, 67.54, 26.59, 5.42
37001,2.46, 36.54, 24.46, 39.00
37003,25.86, 52.03, 21.79, 26.18
37005,16.02, 45.80, 29.78, 24.43
37007,7.51, 18.39, 37.05, 44.56
37009,15.94, 53.15, 37.21, 9.64
37011,55.49, 70.76, 13.97, 15.27
37013,21.18, 23.03, 27.89, 49.07
37015,1.39, 11.38, 45.00, 43.61
37017,13.61, 20.79, 32.80, 46.41
37019,4.42, 27.52, 34.03, 38.45
37021,13.48, 44.23, 30.76, 25.01
37023,22.84, 48.84, 25.17, 26.00
37025,26.47, 52.35, 21.77, 25.88
37027,26.33, 51.46, 23.41, 25.13
37029,19.78, 9.06, 35.58, 55.36
37031,7.28, 40.23, 32.95, 26.81
37033,11.85, 17.20, 35.47, 47.33
37035,34.02, 56.33, 21.36, 22.31
37037,2.95, 36.22, 33.27, 30.51
37039,19.28, 53.18, 33.90, 12.91
37041,13.40, 21.60, 32.50, 45.90
37043,21.46, 54.94, 33.48, 11.58
37045,10.40, 32.28, 25.04, 42.68
37047,16.54, 26.19, 28.64, 45.17
37049,16.51, 21.77, 30.86, 47.37
37051,1.39, 31.95, 34.72, 33.33
37053,28.50, 14.11, 28.69, 57.19
37055,7.41, 40.13, 27.14, 32.73
37057,14.33, 46.57, 21.20, 32.23
37059,17.14, 49.04, 19.05, 31.90
37061,21.47, 22.22, 28.16, 49.62
37063,7.06, 29.68, 38.69, 31.63
37065,4.32, 22.36, 36.66, 40.98
37067,16.78, 46.79, 30.01, 23.20
37069,27.37, 14.10, 29.27, 56.64
37071,11.14, 43.77, 23.59, 32.64
37073,2.73, 14.58, 41.34, 44.07
37075,17.00, 52.44, 35.44, 12.12
37077,16.77, 21.50, 30.87, 47.64
37079,26.31, 12.71, 30.49, 56.80
37081,15.88, 46.23, 30.35, 23.42
37083,14.41, 20.72, 32.43, 46.84
37085,8.57, 32.97, 25.49, 41.54
37087,3.18, 39.26, 36.08, 24.66
37089,33.68, 57.45, 18.79, 23.76
37091,16.24, 17.04, 49.60, 33.36
37093,14.09, 17.88, 48.11, 34.02
37095,3.20, 20.02, 38.39, 41.59
37097,6.28, 43.17, 19.95, 36.89
37099,10.16, 48.14, 37.98, 13.88
37101,11.96, 33.05, 21.95, 45.01
37103,16.49, 10.72, 36.39, 52.88
37105,12.75, 29.32, 28.61, 42.07
37107,26.59, 24.43, 24.49, 51.08
37109,16.01, 46.20, 30.19, 23.60
37111,16.72, 46.01, 24.69, 29.30
37113,18.77, 50.48, 31.71, 17.80
37115,14.60, 49.18, 34.58, 16.25
37117,8.58, 14.97, 38.22, 46.81
37119,23.46, 52.40, 28.93, 18.67
37121,56.90, 72.65, 15.75, 11.60
37123,8.53, 39.67, 31.14, 29.19
37125,14.29, 43.74, 29.45, 26.82
37127,20.65, 24.08, 27.64, 48.29
37129,2.69, 37.03, 28.64, 34.33
37131,13.72, 10.86, 51.43, 37.71
37133,17.10, 28.08, 26.75, 45.18
37135,12.39, 33.30, 45.70, 21.00
37137,4.81, 21.46, 36.87, 41.68
37139,13.61, 18.84, 33.78, 47.39
37141,13.72, 17.76, 34.26, 47.98
37143,17.44, 15.37, 33.60, 51.03
37145,16.06, 24.17, 29.89, 45.95
37147,6.51, 25.41, 34.04, 40.55
37149,18.48, 45.89, 27.41, 26.71
37151,25.52, 52.35, 20.83, 26.82
37153,9.54, 22.78, 33.84, 43.38
37155,9.40, 23.55, 42.92, 33.52
37157,5.08, 33.46, 28.00, 38.54
37159,18.42, 46.79, 24.84, 28.37
37161,18.73, 46.11, 27.38, 26.51
37163,11.31, 41.44, 30.13, 28.43
37165,3.94, 28.69, 37.63, 33.68
37167,25.76, 51.43, 22.90, 25.67
37169,12.98, 45.25, 22.47, 32.28
37171,24.16, 51.19, 27.02, 21.79
37173,8.20, 45.86, 37.66, 16.48
37175,19.38, 46.85, 25.67, 27.47
37177,12.90, 22.61, 45.14, 32.25
37179,3.87, 38.67, 26.53, 34.80
37181,12.27, 19.84, 33.94, 46.21
37183,11.84, 43.08, 31.24, 25.69
37185,0.02, 14.79, 42.60, 42.62
37187,0.67, 21.26, 39.71, 39.04
37189,23.41, 55.88, 32.46, 11.66
37191,15.37, 28.79, 27.06, 44.15
37193,36.07, 60.29, 24.22, 15.49
37195,23.13, 25.13, 25.87, 49.00
37197,35.87, 60.51, 14.84, 24.65
37199,4.30, 45.21, 40.90, 13.89
38001,21.28, 57.27, 35.99, 6.51
38003,17.75, 56.30, 38.55, 5.11
38005,1.78, 46.86, 48.64, 4.50
38007,34.64, 61.91, 27.27, 10.82
38009,25.39, 60.06, 34.67, 5.25
38011,22.41, 56.46, 34.04, 9.50
38013,19.77, 56.83, 37.06, 6.06
38015,33.17, 64.03, 30.87, 4.91
38017,16.21, 55.88, 39.67, 4.28
38019,8.38, 50.85, 42.46, 6.69
38021,29.54, 62.34, 32.80, 4.81
38023,5.76, 50.39, 44.63, 4.98
38025,20.24, 56.17, 35.92, 7.86
38027,6.28, 51.10, 44.83, 3.82
38029,40.35, 65.04, 24.70, 10.16
38031,10.38, 52.31, 41.94, 5.75
38033,32.28, 61.30, 29.02, 9.59
38035,11.18, 52.00, 40.82, 7.07
38037,50.52, 71.78, 21.25, 6.84
38039,4.58, 49.84, 45.26, 4.89
