statecounty,9.95%, 44.77%, 54.72%, 0.50%
01001,87.94%, 5.69%, 93.62%, 0.69%
01003,58.95%, 17.62%, 76.58%, 0.91%
01005,92.17%, 3.71%, 95.88%, 0.41%
01007,81.91%, 8.60%, 90.51%, 0.89%
01009,52.46%, 23.25%, 75.71%, 1.03%
01011,97.27%,-, 98.64%, 1.36%
01013,96.13%,-, 97.99%, 2.01%
01015,74.21%, 12.72%, 86.93%, 0.35%
01017,94.58%, 2.58%, 97.16%, 0.26%
01019,74.29%, 12.66%, 86.94%, 0.40%
01021,15.81%, 41.99%, 57.80%, 0.21%
01023,93.03%, 3.48%, 96.52%,-
01025,97.45%,-, 98.71%, 1.29%
01027,42.97%, 28.25%, 71.22%, 0.53%
01029,51.71%, 24.00%, 75.72%, 0.28%
01031,87.77%, 6.12%, 93.88%,-
01033,83.12%, 8.35%, 91.47%, 0.18%
01035,95.63%, 2.08%, 97.71%, 0.21%
01037,61.42%, 18.90%, 80.32%, 0.78%
01039,92.23%, 3.86%, 96.08%, 0.06%
01041,93.62%, 3.03%, 96.65%, 0.32%
01043,29.31%, 35.19%, 64.51%, 0.30%
01045,74.23%, 12.80%, 87.03%, 0.17%
01047,90.29%, 4.81%, 95.10%, 0.09%
01049,31.75%, 34.02%, 65.77%, 0.21%
01051,93.28%, 3.26%, 96.54%, 0.20%
01053,90.33%, 4.70%, 95.03%, 0.27%
01055,69.06%, 15.27%, 84.33%, 0.40%
01057,47.54%, 25.88%, 73.42%, 0.70%
01059,27.72%, 35.95%, 63.67%, 0.38%
01061,74.81%, 12.37%, 87.19%, 0.44%
01063,84.14%, 7.93%, 92.07%,-
01065,96.29%,-, 98.14%, 1.86%
01067,93.11%, 3.40%, 96.50%, 0.10%
01069,77.90%, 10.88%, 88.78%, 0.34%
01071,60.21%, 19.80%, 80.01%, 0.19%
01073,69.08%, 15.26%, 84.34%, 0.40%
01075,80.96%, 9.32%, 90.28%, 0.41%
01077,81.31%, 9.04%, 90.35%, 0.61%
01079,64.90%, 17.33%, 82.23%, 0.43%
01081,92.11%, 3.85%, 95.96%, 0.19%
01083,93.46%, 3.12%, 96.58%, 0.30%
01085,97.82%,-, 98.86%, 1.14%
01087,93.62%, 3.15%, 96.77%, 0.08%
01089,81.16%, 9.28%, 90.44%, 0.28%
01091,93.97%, 2.97%, 96.94%, 0.08%
01093,41.28%, 28.37%, 69.64%, 1.99%
01095,63.58%, 17.98%, 81.55%, 0.47%
01097,71.10%, 13.99%, 85.08%, 0.93%
01099,96.84%,-, 98.17%, 1.83%
01101,95.75%,-, 97.74%, 2.26%
01103,82.43%, 8.51%, 90.93%, 0.56%
01105,94.66%, 2.51%, 97.17%, 0.32%
01107,84.49%, 7.51%, 92.00%, 0.48%
01109,92.13%, 3.81%, 95.94%, 0.25%
01111,56.23%, 21.69%, 77.92%, 0.39%
01113,96.02%,-, 97.95%, 2.05%
01115,22.91%, 38.27%, 61.18%, 0.55%
01117,49.41%, 25.20%, 74.61%, 0.19%
01119,93.59%, 3.17%, 96.76%, 0.07%
01121,76.04%, 11.84%, 87.88%, 0.29%
01123,93.54%, 3.11%, 96.65%, 0.25%
01125,87.02%, 6.33%, 93.35%, 0.33%
01127,49.34%, 25.18%, 74.52%, 0.30%
01129,91.61%, 4.04%, 95.65%, 0.30%
01131,97.43%,-, 98.71%, 1.29%
01133,9.45%, 54.55%, 45.10%, 0.36%
02013,0%,-,-,-
02016,0%,-,-,-
02020,0%,-,-,-
02050,0%,-,-,-
02060,0%,-,-,-
02068,0%,-,-,-
02070,0%,-,-,-
02090,0%,-,-,-
02100,0%,-,-,-
02105,0%,-,-,-
02110,0%,-,-,-
02122,0%,-,-,-
02130,0%,-,-,-
02150,0%,-,-,-
02164,0%,-,-,-
02170,0%,-,-,-
02180,0%,-,-,-
02185,0%,-,-,-
02188,0%,-,-,-
02195,0%,-,-,-
02198,0%,-,-,-
02220,0%,-,-,-
02230,0%,-,-,-
02240,0%,-,-,-
02261,0%,-,-,-
02270,0%,-,-,-
02275,0%,-,-,-
