05003,53.28%, 23.36%, 76.64%,-,-
05005,48.38%, 25.81%, 74.19%,-,-
05007,41.21%, 29.39%, 70.61%,-,-
05009,40.53%, 29.74%, 70.26%,-,-
05011,57.37%, 21.32%, 78.68%,-,-
05013,54.47%, 22.76%, 77.24%,-,-
05015,18.77%, 40.61%, 59.39%,-,-
05017,9.20%, 45.40%, 54.60%,-,-
05019,48.89%, 25.56%, 74.44%,-,-
05021,33.42%, 33.29%, 66.71%,-,-
05023,52.29%, 23.86%, 76.14%,-,-
05025,66.13%, 16.94%, 83.06%,-,-
05027,48.41%, 25.80%, 74.20%,-,-
05029,15.17%, 42.42%, 57.58%,-,-
05031,56.56%, 21.72%, 78.28%,-,-
05033,15.16%, 42.42%, 57.58%,-,-
05035,72.17%, 13.91%, 86.09%,-,-
05037,57.25%, 21.37%, 78.63%,-,-
05039,37.15%, 31.43%, 68.57%,-,-
05041,44.47%, 27.77%, 72.23%,-,-
05043,32.01%, 34.00%, 66.00%,-,-
05045,42.63%, 28.69%, 71.31%,-,-
05047,48.52%, 25.74%, 74.26%,-,-
05049,47.31%, 26.34%, 73.66%,-,-
05051,22.71%, 38.65%, 61.35%,-,-
05053,66.87%, 16.56%, 83.44%,-,-
05055,62.27%, 18.87%, 81.13%,-,-
05057,25.89%, 37.05%, 62.95%,-,-
05059,37.80%, 31.10%, 68.90%,-,-
05061,41.46%, 29.27%, 70.73%,-,-
05063,44.56%, 27.72%, 72.28%,-,-
05065,63.27%, 18.36%, 81.64%,-,-
05067,47.89%, 26.05%, 73.95%,-,-
05069,40.37%, 29.81%, 70.19%,-,-
05071,44.29%, 27.85%, 72.15%,-,-
05073,41.88%, 29.06%, 70.94%,-,-
05075,70.26%, 14.87%, 85.13%,-,-
05077,41.22%, 29.39%, 70.61%,-,-
05079,30.16%, 34.92%, 65.08%,-,-
05081,39.64%, 30.18%, 69.82%,-,-
05083,26.09%, 36.96%, 63.04%,-,-
05085,61.78%, 19.11%, 80.89%,-,-
05087,4.45%, 47.78%, 52.22%,-,-
05089,48.06%, 25.97%, 74.03%,-,-
05091,55.82%, 22.09%, 77.91%,-,-
05093,49.94%, 25.03%, 74.97%,-,-
05095,18.65%, 40.67%, 59.33%,-,-
05097,36.98%, 31.51%, 68.49%,-,-
05099,35.37%, 32.32%, 67.68%,-,-
05101,10.20%, 55.10%, 44.90%,-,-
05103,18.32%, 40.84%, 59.16%,-,-
05105,37.91%, 31.05%, 68.95%,-,-
05107,45.29%, 27.35%, 72.65%,-,-
05109,32.14%, 33.93%, 66.07%,-,-
05111,39.35%, 30.33%, 69.67%,-,-
05113,46.98%, 26.51%, 73.49%,-,-
05115,46.57%, 26.71%, 73.29%,-,-
05117,23.66%, 38.17%, 61.83%,-,-
05119,39.70%, 30.15%, 69.85%,-,-
05121,54.45%, 22.77%, 77.23%,-,-
05123,41.70%, 29.15%, 70.85%,-,-
05125,74.30%, 12.85%, 87.15%,-,-
05127,45.41%, 27.30%, 72.70%,-,-
05129,18.73%, 59.37%, 40.63%,-,-
05131,46.27%, 26.86%, 73.14%,-,-
05133,67.66%, 16.17%, 83.83%,-,-
05135,58.95%, 20.52%, 79.48%,-,-
05137,39.18%, 30.41%, 69.59%,-,-
05139,72.20%, 13.90%, 86.10%,-,-
05141,26.25%, 36.87%, 63.13%,-,-
05143,28.52%, 35.74%, 64.26%,-,-
05145,61.50%, 19.25%, 80.75%,-,-
05147,36.20%, 31.90%, 68.10%,-,-
05149,45.76%, 27.12%, 72.88%,-,-
06001,7.51%, 50.34%, 42.84%, 1.51%, 5.31%
06003,44.58%, 72.29%, 27.71%,-,-
06005,17.75%, 38.53%, 56.28%, 1.21%, 3.98%
06007,9.64%, 40.91%, 50.55%,-, 4.51%
06009,12.15%, 40.91%, 53.06%, 1.32%, 4.70%
06011,31.07%, 31.82%, 62.89%, 1.42%, 3.87%
06013,2.77%, 44.05%, 46.82%,-, 6.81%
06015,2.46%, 43.81%, 41.35%,-, 12.64%
06017,22.58%, 35.10%, 57.67%, 1.08%, 6.15%
06019,8.89%, 41.07%, 49.95%,-, 5.78%
06021,13.64%, 40.23%, 53.87%, 0.06%, 3.03%
06023,14.88%, 51.14%, 36.27%,-, 9.40%
06025,8.69%, 40.46%, 49.15%,-, 5.45%
06027,5.95%, 41.96%, 47.92%,-, 7.54%
06029,24.75%, 35.11%, 59.86%, 1.57%, 3.46%
06031,12.21%, 39.65%, 51.86%,-, 4.57%
06033,16.70%, 35.42%, 52.13%,-, 8.15%
06035,18.79%, 36.96%, 55.75%, 1.26%, 6.03%
06037,8.02%, 50.59%, 42.58%, 0.06%, 3.01%
06039,16.00%, 38.01%, 54.01%, 0.17%, 5.26%
06041,6.23%, 50.05%, 43.82%, 1.23%, 4.90%
06043,25.49%, 32.75%, 58.24%,-, 6.90%
06045,1.65%, 46.79%, 45.14%,-, 6.07%
06047,9.64%, 40.72%, 50.36%,-, 5.44%
06049,21.64%, 36.61%, 58.25%, 1.38%, 3.77%
06051,6.44%, 42.02%, 48.47%, 1.53%, 7.98%
06053,3.47%, 44.81%, 48.28%,-, 4.53%
06055,11.07%, 52.46%, 41.39%,-, 4.07%
06057,21.36%, 35.22%, 56.58%, 2.00%, 6.20%
06059,22.06%, 56.59%, 34.54%,-, 3.43%
06061,24.54%, 33.74%, 58.28%,-, 5.42%
06063,19.96%, 36.55%, 56.50%, 1.32%, 5.62%
06065,21.20%, 54.64%, 33.44%,-, 5.79%
06067,14.44%, 40.19%, 54.63%,-, 3.13%
06069,7.61%, 44.19%, 51.80%, 1.23%, 2.79%
06071,10.76%, 50.68%, 39.92%,-, 3.42%
06073,0.45%, 46.47%, 46.02%,-, 4.41%
06075,10.15%, 42.30%, 52.45%, 0.95%, 4.31%
06077,17.39%, 38.05%, 55.44%,-, 3.82%
06079,9.65%, 40.20%, 49.85%,-, 7.71%
06081,6.93%, 50.01%, 43.08%, 1.72%, 5.19%
06083,7.12%, 42.54%, 49.65%, 0.01%, 4.49%
06085,7.37%, 50.77%, 43.40%, 0.03%, 3.08%
06087,3.00%, 44.76%, 47.76%,-, 4.05%
06089,15.19%, 37.20%, 52.39%,-, 8.32%
06091,22.99%, 35.36%, 58.35%, 0.88%, 5.40%
06093,23.01%, 34.13%, 57.15%, 1.81%, 6.91%
06095,22.02%, 36.35%, 58.37%, 1.97%, 3.31%
06097,7.02%, 50.37%, 43.35%, 1.52%, 4.77%
06099,9.32%, 37.66%, 46.98%,-, 6.24%
06101,11.52%, 42.00%, 53.52%, 1.70%, 2.77%
06103,16.60%, 36.32%, 52.92%,-, 6.98%
06105,19.65%, 35.16%, 54.81%, 1.41%, 8.62%
06107,2.92%, 43.96%, 46.87%,-, 5.75%
06109,18.04%, 36.17%, 54.21%, 1.51%, 8.11%
06111,15.87%, 55.18%, 39.30%, 1.91%, 3.60%
06113,10.69%, 42.43%, 53.12%, 1.42%, 3.04%
06115,12.38%, 42.10%, 54.49%, 0.85%, 2.56%
08001,27.81%, 33.93%, 61.74%, 0.70%, 3.64%
08003,43.94%, 26.15%, 70.10%, 0.32%, 3.43%
08005,28.41%, 33.91%, 62.33%, 0.73%, 3.03%
08007,26.94%, 35.70%, 62.64%, 1.66%,-
08009,19.85%, 35.03%, 54.88%, 1.27%, 8.82%
08011,26.73%, 34.80%, 61.53%, 1.38%, 2.30%
08013,28.44%, 33.02%, 61.46%, 1.52%, 3.99%
08014,0%,-,-,-,-
08015,47.88%, 24.59%, 72.47%, 0.71%, 2.22%
08017,16.78%, 38.38%, 55.16%, 0.83%, 5.64%
08019,45.30%, 26.35%, 71.65%, 2.00%,-
08021,29.69%, 34.74%, 64.43%, 0.82%,-
08023,26.87%, 34.65%, 61.52%, 3.83%,-
08025,14.95%, 40.47%, 55.42%, 1.67%, 2.44%
08027,12.94%, 41.38%, 54.31%, 0.72%, 3.59%
08029,25.23%, 33.75%, 58.97%, 1.38%, 5.90%
08031,28.96%, 33.84%, 62.81%, 0.69%, 2.67%
08033,62.69%, 14.07%, 76.76%,-, 9.17%
08035,14.33%, 42.18%, 56.51%, 1.31%,-
08037,46.89%, 25.19%, 72.08%, 0.44%, 2.28%
08039,12.14%, 41.37%, 53.50%, 1.22%, 3.91%
08041,7.43%, 43.55%, 50.99%, 2.10%, 3.36%
08043,19.08%, 37.84%, 56.92%, 1.17%, 4.07%
08045,35.12%, 29.86%, 64.98%, 0.94%, 4.22%
08047,29.89%, 34.17%, 64.06%, 1.76%,-
08049,24.19%, 37.17%, 61.36%, 1.47%,-
08051,35.54%, 29.65%, 65.19%, 0.52%, 4.63%
08053,27.81%, 31.13%, 58.94%, 0.33%, 9.60%
08055,12.80%, 42.88%, 55.68%, 1.44%,-
08057,35.01%, 31.59%, 66.60%, 1.81%,-
08059,23.82%, 36.60%, 60.42%, 0.48%, 2.49%
08061,11.66%, 39.57%, 51.23%, 1.48%, 7.72%
08063,19.47%, 37.06%, 56.53%, 1.12%, 5.29%
08065,43.05%, 25.46%, 68.51%, 1.15%,-
08067,41.07%, 27.07%, 68.14%, 0.63%, 4.16%
08069,25.31%, 34.18%, 59.49%, 1.23%, 5.10%
08071,19.77%, 38.81%, 58.58%, 2.61%,-
08073,19.19%, 37.81%, 57.00%, 1.21%, 3.99%
08075,29.63%, 33.51%, 63.14%, 0.73%, 2.62%
08077,29.36%, 30.06%, 59.42%, 0.04%, 7.36%
08079,30.89%, 29.16%, 60.04%, 0.43%, 10.37%
08081,17.69%, 39.72%, 57.41%, 0.47%, 2.40%
08083,52.49%, 21.60%, 74.09%, 0.46%, 3.86%
08085,30.06%, 31.47%, 61.52%, 0.98%, 6.03%
08087,20.46%, 37.99%, 58.46%, 0.81%, 2.74%
08089,18.56%, 38.68%, 57.24%, 1.68%, 2.41%
08091,39.55%, 28.08%, 67.63%, 0.35%, 3.94%
08093,27.99%, 34.48%, 62.47%, 0.46%, 2.59%
08095,18.87%, 38.16%, 57.03%, 0.79%, 4.02%
08097,50.82%, 20.50%, 71.32%, 0.39%, 7.79%
08099,11.66%, 40.48%, 52.14%, 1.52%, 5.87%
08101,22.96%, 36.08%, 59.04%, 0.85%, 4.03%
08103,19.73%, 39.46%, 59.19%, 1.35%,-
08105,32.02%, 32.61%, 64.63%, 2.76%,-
08107,38.04%, 28.76%, 66.80%, 0.58%, 3.86%
08109,28.79%, 34.22%, 63.02%, 0.45%, 2.31%
08111,48.38%, 21.62%, 70.00%, 0.91%, 7.47%
08113,37.65%, 29.13%, 66.78%, 0.50%, 3.58%
08115,0.89%, 46.86%, 45.97%, 1.24%, 5.93%
08117,44.02%, 26.27%, 70.29%, 0.69%, 2.75%
08119,33.36%, 31.00%, 64.37%, 0.40%, 4.23%
08121,26.19%, 34.13%, 60.32%, 1.10%, 4.45%
08123,22.05%, 37.12%, 59.18%, 1.47%, 2.23%
08125,24.75%, 34.51%, 59.26%, 0.84%, 5.38%
09001,10.54%, 53.78%, 43.24%, 0.78%, 2.20%
09003,2.28%, 46.75%, 49.03%, 1.72%, 2.51%
09005,8.04%, 53.00%, 44.96%, 2.04%,-
09007,8.96%, 53.42%, 44.46%, 2.11%,-
09009,0.38%, 47.68%, 48.06%, 0.94%, 3.32%
09011,0.23%, 48.51%, 48.74%, 2.75%,-
09013,14.40%, 54.72%, 40.32%, 1.33%, 3.63%
09015,5.63%, 51.86%, 46.23%, 1.91%,-
10001,4.91%, 47.14%, 52.05%, 0.82%,-
10003,3.98%, 50.56%, 46.58%, 2.86%,-
10005,3.26%, 51.36%, 48.10%, 0.54%,-
11001,0%,-,-,-,-
12001,62.48%, 17.29%, 79.76%, 2.95%,-
12003,68.86%, 9.25%, 78.11%,-, 5.34%
12005,37.80%, 23.64%, 61.44%,-, 8.39%
12007,77.17%, 10.28%, 87.44%, 2.28%,-
12009,46.30%, 18.95%, 65.25%,-, 8.28%
12011,32.00%, 22.57%, 54.57%,-, 15.71%
12013,39.24%, 24.85%, 64.09%,-, 8.09%
12015,0%,-,-,-,-
12017,79.86%, 6.62%, 86.47%,-, 3.60%
12019,54.43%, 14.29%, 68.72%,-, 8.50%
12021,0%,-,-,-,-
12023,53.54%, 19.06%, 72.60%,-, 2.36%
12027,53.18%, 14.95%, 68.13%,-, 8.85%
12029,0%,-,-,-,-
12031,51.74%, 16.83%, 68.57%,-, 7.30%
12033,63.91%, 15.05%, 78.95%,-, 3.58%
12035,0%,-,-,-,-
12037,47.93%, 16.80%, 64.73%,-, 6.64%
12039,79.32%, 5.53%, 84.95%,-, 3.88%
12041,0%,-,-,-,-
12043,0%,-,-,-,-
12045,0%,-,-,-,-
12047,69.21%, 13.92%, 83.13%, 2.96%,-
12049,0%,-,-,-,-
12051,0%,-,-,-,-
12053,72.86%, 6.79%, 79.64%,-, 6.79%
12055,0%,-,-,-,-
12057,59.50%, 10.45%, 69.95%,-, 9.40%
12059,22.69%, 28.83%, 51.52%,-, 12.29%
12061,0%,-,-,-,-
12063,63.08%, 16.53%, 79.60%, 1.37%,-
12065,71.41%, 13.70%, 85.11%, 1.19%,-
12067,84.54%, 4.73%, 89.27%,-, 3.15%
12069,42.54%, 25.25%, 67.79%, 1.76%, 5.20%
12071,51.59%, 14.75%, 66.34%,-, 11.93%
12073,58.46%, 16.32%, 74.79%,-, 3.59%
12075,51.19%, 22.29%, 73.48%, 1.65%, 2.58%
12077,57.33%, 14.65%, 71.98%,-, 3.60%
12079,85.06%, 2.74%, 89.79%,-, 2.74%
12081,48.06%, 18.67%, 66.73%,-, 7.49%
12083,46.64%, 19.50%, 66.15%,-, 6.37%
12085,0%,-,-,-,-
12086,35.75%, 21.94%, 57.69%,-, 10.50%
12087,26.90%, 24.11%, 51.01%,-, 17.40%
12089,54.61%, 15.75%, 70.35%,-, 6.70%
12091,31.55%, 31.86%, 63.41%, 1.68%, 3.05%
12093,0%,-,-,-,-
12095,48.15%, 23.62%, 71.77%, 1.71%, 2.90%
12097,4.99%, 38.98%, 43.98%,-, 8.61%
12099,29.51%, 22.17%, 51.67%,-, 13.83%
12101,45.59%, 19.82%, 65.41%,-, 6.88%
12103,39.04%, 22.86%, 61.90%,-, 7.13%
12105,59.04%, 17.10%, 76.13%,-, 4.67%
12107,31.62%, 28.67%, 60.29%,-, 6.38%
12109,47.11%, 19.03%, 66.14%,-, 7.94%
12111,55.78%, 13.14%, 68.92%,-, 10.78%
12113,72.35%, 10.23%, 82.58%, 1.75%,-
12115,0%,-,-,-,-
12117,55.32%, 15.56%, 70.88%,-, 8.03%
12119,71.20%, 9.42%, 80.62%,-, 4.04%
12121,76.27%, 3.94%, 85.14%,-, 8.87%
12123,81.31%, 8.36%, 89.67%, 1.97%,-
12125,0%,-,-,-,-
12127,24.70%, 33.41%, 58.11%,-, 4.11%
12129,47.25%, 21.49%, 68.74%,-, 5.68%
12131,13.80%, 37.14%, 50.95%,-, 5.35%
12133,46.56%, 15.85%, 62.41%,-, 14.36%
13001,51.57%, 7.67%, 71.95%,-,-
13003,0%,-,-,-,-
13005,72.37%, 13.81%, 86.19%,-,-
13007,64.46%,-, 82.23%,-,-
13009,74.93%, 9.48%, 84.40%,-,-
13011,69.99%, 10.22%, 80.21%,-,-
13013,58.63%, 15.38%, 74.01%,-,-
13015,57.31%, 5.28%, 76.02%,-,-
13017,64.11%,-, 81.53%, 1.04%,-
13019,94.04%,-, 96.29%, 1.47%,-
13021,80.06%, 8.71%, 88.77%,-,-
13023,91.10%,-, 94.76%, 1.57%,-
13025,0%,-,-,-,-
13027,78.94%, 9.39%, 88.33%,-,-
13029,86.60%, 5.30%, 91.90%,-,-
13031,86.70%,-, 92.40%, 1.90%,-
13033,92.63%, 2.69%, 95.33%, 1.98%,-
13035,80.56%, 7.72%, 88.28%,-,-
13037,92.75%, 3.26%, 96.01%, 0.72%,-
13039,95.37%,-, 96.91%, 3.09%,-
13043,88.09%,-, 94.04%,-,-
13045,56.13%, 5.48%, 75.33%,-,-
13047,47.81%, 3.70%, 72.06%,-,-
13049,50.43%, 22.41%, 72.84%,-,-
13051,66.53%, 7.70%, 79.42%,-,-
13053,91.52%, 3.03%, 94.55%,-,-
13055,60.51%,-, 79.46%, 1.58%,-
13057,24.50%, 18.16%, 53.17%,-,-
13059,78.22%, 9.58%, 87.80%,-,-
13061,88.11%, 3.69%, 92.21%,-,-
13063,74.29%,-, 86.89%, 0.50%,-
13065,73.79%, 12.18%, 85.98%, 1.84%,-
13067,56.70%, 5.90%, 75.40%,-,-
13069,87.99%, 5.36%, 93.35%, 1.29%,-
13071,74.17%, 3.47%, 85.35%,-,-
13073,92.29%,-, 95.60%, 1.10%,-
13075,0%,-,-,-,-
13077,84.81%, 6.59%, 91.40%,-,-
13079,97.60%,-, 98.56%, 1.44%,-
13081,70.04%,-, 84.73%, 0.59%,-
13083,81.39%, 3.61%, 88.89%,-,-
13085,22.51%, 36.79%, 59.30%,-,-
13087,79.43%, 2.70%, 88.37%,-,-
13089,78.62%,-, 88.99%, 0.63%,-
13091,81.62%, 7.22%, 88.84%,-,-
13093,91.93%,-, 95.96%,-,-
13095,89.78%, 4.16%, 93.93%, 1.91%,-
13097,60.90%, 10.99%, 74.95%,-,-
13099,95.16%,-, 97.14%, 2.86%,-
13101,100.00%,-, 100.00%,-,-
13103,73.95%,-, 86.21%, 1.53%,-
13105,81.12%,-, 90.56%,-,-
13107,68.78%,-, 83.61%, 1.56%,-
13109,64.79%, 7.98%, 78.40%,-,-
13111,11.71%, 9.13%, 39.58%,-,-
13113,71.99%, 4.24%, 83.87%,-,-
13115,68.05%,-, 83.05%, 1.94%,-
13117,58.79%, 10.72%, 74.03%,-,-
13119,74.53%, 2.46%, 86.03%,-,-
13121,67.58%, 11.61%, 79.19%,-,-
13123,11.67%, 16.54%, 47.56%,-,-
13125,10.34%, 2.76%, 43.45%,-,-
13127,77.42%, 8.06%, 85.48%,-,-
13129,53.26%, 13.18%, 70.04%,-,-
13131,74.06%, 4.89%, 84.59%,-,-
13133,59.30%, 6.01%, 76.64%,-,-
13135,62.28%, 10.99%, 75.64%,-,-
13137,42.13%, 3.23%, 69.45%,-,-
13139,59.68%, 6.50%, 76.59%,-,-
13141,86.64%, 4.89%, 91.53%,-,-
13143,3.31%, 7.82%, 47.75%,-,-
13145,85.93%, 3.81%, 91.06%,-,-
13147,50.84%, 2.18%, 74.33%,-,-
13149,73.63%, 2.15%, 85.74%,-,-
13151,75.27%, 7.54%, 83.86%,-,-
13153,86.67%, 5.98%, 92.64%, 1.38%,-
13155,84.59%, 5.56%, 90.14%,-,-
13157,79.75%, 5.23%, 87.26%,-,-
13159,93.90%, 2.51%, 96.41%, 1.08%,-
13161,65.85%, 3.79%, 81.03%,-,-
