statecounty,x,"104,426,611","5,805,256",5.56%, 43.01%, 37.45%, 18.91%, 0.64%,"39,104,550","19,743,821"," 668,434"
01001,x,"15,585","3,896",25.00%, 55.92%, 30.92%, 12.29%, 0.87%,"4,819","1,916", 135
01003,x,"46,476","14,075",30.28%, 56.52%, 26.24%, 16.47%, 0.76%,"12,195","7,656", 355
01005,x,"10,431",361,3.46%, 46.36%, 42.90%, 9.78%, 0.96%,"4,475","1,020", 100
01007,x,"6,720",224,3.33%, 46.49%, 43.15%, 10.21%, 0.15%,"2,900",686, 10
01009,x,"16,505","3,449",20.90%, 53.81%, 32.92%, 11.81%, 1.46%,"5,433","1,949", 241
01011,x,"4,816","2,006",41.65%, 67.67%, 26.02%, 5.52%, 0.79%,"1,253",266, 38
01013,x,"8,478",527,6.22%, 47.43%, 41.21%, 10.23%, 1.13%,"3,494",867, 96
01015,x,"42,800","4,170",9.74%, 48.18%, 38.44%, 11.02%, 2.35%,"16,453","4,717"," 1,007"
01017,x,"13,091",256,1.96%, 45.36%, 43.40%, 10.90%, 0.34%,"5,682","1,427", 44
01019,x,"7,876","1,477",18.75%, 53.61%, 34.85%, 10.74%, 0.80%,"2,745",846, 63
01021,x,"14,468","3,180",21.98%, 56.17%, 34.19%, 9.42%, 0.23%,"4,946","1,363", 33
01023,x,"7,560",872,11.53%, 52.13%, 40.60%, 6.47%, 0.81%,"3,069",489, 61
01025,x,"11,717",472,4.03%, 46.90%, 42.87%, 7.44%, 2.79%,"5,023",872, 327
01027,x,"5,755",786,13.66%, 49.68%, 36.02%, 11.33%, 2.97%,"2,073",652, 171
01029,x,"5,237",281,5.37%, 46.31%, 40.94%, 12.03%, 0.73%,"2,144",630, 38
01031,x,"15,533","1,815",11.68%, 48.87%, 37.19%, 13.01%, 0.93%,"5,776","2,021", 145
01033,x,"22,439","4,133",18.42%, 54.40%, 35.98%, 9.35%, 0.28%,"8,073","2,098", 62
01035,x,"6,307",692,10.97%, 50.02%, 39.05%, 8.75%, 2.17%,"2,463",552, 137
01037,x,"4,798",357,7.44%, 48.56%, 41.12%, 9.92%, 0.40%,"1,973",476, 19
01039,x,"13,962","1,836",13.15%, 48.99%, 35.84%, 13.47%, 1.70%,"5,004","1,880", 238
01041,x,"5,290",65,1.23%, 45.44%, 44.22%, 9.17%, 1.17%,"2,339",485, 62
01043,x,"29,043","3,960",13.63%, 49.62%, 35.98%, 14.16%, 0.23%,"10,451","4,113", 68
01045,x,"15,787","3,025",19.16%, 51.45%, 32.29%, 15.35%, 0.91%,"5,098","2,423", 143
01047,x,"19,604","3,659",18.66%, 56.38%, 37.72%, 5.66%, 0.24%,"7,394","1,110", 47
01049,x,"21,585","2,274",10.54%, 48.73%, 38.20%, 12.70%, 0.37%,"8,245","2,741", 80
01051,x,"20,388","5,133",25.18%, 55.70%, 30.52%, 13.56%, 0.22%,"6,223","2,765", 44
01053,x,"12,824","1,146",8.94%, 46.44%, 37.50%, 12.60%, 3.46%,"4,809","1,616", 444
01055,x,"42,451","3,091",7.28%, 48.43%, 41.15%, 10.08%, 0.35%,"17,467","4,277", 149
01057,x,"8,470",226,2.67%, 45.22%, 42.55%, 11.95%, 0.28%,"3,604","1,012", 24
01059,x,"11,858","1,159",9.77%, 50.20%, 40.43%, 9.07%, 0.30%,"4,794","1,075", 36
01061,x,"9,867","1,221",12.37%, 49.08%, 36.71%, 13.41%, 0.80%,"3,622","1,323", 79
01063,x,"4,881","3,060",62.69%, 79.18%, 16.49%, 3.97%, 0.35%,805,194, 17
01065,x,"6,023","1,480",24.57%, 57.80%, 33.22%, 8.07%, 0.91%,"2,001",486, 55
01067,x,"6,499",166,2.55%, 45.70%, 43.15%, 10.26%, 0.89%,"2,804",667, 58
01069,x,"29,760","8,503",28.57%, 58.33%, 29.76%, 11.73%, 0.17%,"8,857","3,492", 51
01071,x,"18,916","4,917",25.99%, 56.19%, 30.19%, 13.02%, 0.61%,"5,711","2,462", 115
01073,x,"298,884","23,943",8.01%, 50.13%, 42.12%, 7.42%, 0.33%,"125,889","22,191", 972
01075,x,"6,898",413,5.99%, 47.29%, 41.30%, 11.06%, 0.35%,"2,849",763, 24
01077,x,"33,756","2,208",6.54%, 47.21%, 40.67%, 11.88%, 0.25%,"13,728","4,009", 83
01079,x,"11,589","2,788",24.06%, 54.91%, 30.86%, 14.01%, 0.22%,"3,576","1,624", 25
01081,x,"35,490","3,115",8.78%, 47.58%, 38.80%, 12.88%, 0.74%,"13,770","4,572", 263
01083,x,"21,597","1,775",8.22%, 45.66%, 37.45%, 16.59%, 0.30%,"8,087","3,584", 64
01085,x,"5,148","2,172",42.19%, 67.99%, 25.80%, 5.52%, 0.70%,"1,328",284, 36
01087,x,"8,762","6,119",69.84%, 82.78%, 12.94%, 3.23%, 1.05%,"1,134",283, 92
01089,x,"107,834","12,470",11.56%, 47.71%, 36.14%, 15.75%, 0.40%,"38,974","16,989", 427
01091,x,"11,244","1,162",10.33%, 50.09%, 39.75%, 8.17%, 1.98%,"4,470",919, 223
01093,x,"13,270",475,3.58%, 46.47%, 42.89%, 10.47%, 0.17%,"5,692","1,389", 22
01095,x,"26,717","1,828",6.84%, 45.85%, 39.01%, 14.20%, 0.94%,"10,421","3,795", 252
01097,x,"143,788","17,973",12.50%, 50.72%, 38.22%, 10.51%, 0.55%,"54,962","15,105", 786
01099,x,"9,745","1,047",10.74%, 50.48%, 39.73%, 7.79%, 2.00%,"3,872",759, 195
01101,x,"86,152","3,400",3.95%, 47.29%, 43.34%, 8.88%, 0.49%,"37,342","7,647", 421
01103,x,"43,978","5,982",13.60%, 47.92%, 34.31%, 17.47%, 0.30%,"15,091","7,683", 131
01105,x,"5,813","1,883",32.39%, 63.86%, 31.46%, 3.66%, 1.01%,"1,829",213, 59
01107,x,"8,142",149,1.83%, 46.46%, 44.63%, 8.47%, 0.43%,"3,634",690, 35
01109,x,"11,193",735,6.57%, 48.45%, 41.88%, 9.15%, 0.52%,"4,688","1,024", 58
01111,x,"8,152",495,6.07%, 46.77%, 40.70%, 11.27%, 1.25%,"3,318",919, 102
01113,x,"15,689","3,060",19.50%, 55.12%, 35.61%, 8.67%, 0.61%,"5,587","1,360", 95
01115,x,"21,624","5,930",27.42%, 57.56%, 30.14%, 12.09%, 0.21%,"6,517","2,614", 46
01117,x,"48,165","22,419",46.55%, 67.97%, 21.42%, 10.43%, 0.19%,"10,317","5,022", 90
01119,x,"7,025","3,003",42.75%, 68.47%, 25.72%, 5.52%, 0.28%,"1,807",388, 20
