statecounty,7.73%
01001,35.70%
01003,46.81%
01005,12.61%
01007,12.46%
01009,31.51%
01011,-37.11%
01013,6.14%
01015,21.65%
01017,20.00%
01019,-5.05%
01021,39.14%
01023,1.94%
01025,14.88%
01027,36.16%
01029,37.59%
01031,34.23%
01033,-14.25%
01035,3.68%
01037,12.72%
01039,35.49%
01041,17.44%
01043,25.15%
01045,44.87%
01047,-11.65%
01049,21.88%
01051,40.87%
01053,25.44%
01055,0.18%
01057,15.24%
01059,1.81%
01061,35.62%
01063,-51.34%
01065,-13.68%
01067,24.08%
01069,48.00%
01071,-9.72%
01073,15.95%
01075,17.10%
01077,0.31%
01079,-12.24%
01081,30.36%
01083,24.60%
01085,-40.26%
01087,-65.07%
01089,34.76%
01091,-1.85%
01093,13.81%
01095,24.02%
01097,22.50%
01099,20.88%
01101,17.65%
01103,27.50%
01105,-25.48%
01107,10.66%
01109,21.22%
01111,29.94%
01113,-1.96%
01115,41.80%
01117,58.03%
01119,-32.85%
01121,21.77%
01123,29.36%
01125,20.17%
01127,-1.44%
01129,4.73%
01131,-31.85%
01133,35.57%
02013,
02016,
02020,
02050,
02060,
02068,
02070,
02090,
02100,
02105,
02110,
02122,
02130,
02150,
02164,
02170,
02180,
02185,
02188,
02195,
02198,
02220,
02230,
02240,
02261,
02270,
02275,
02282,
02290,
04001,-24.73%
04003,14.27%
04005,6.19%
04007,4.67%
04009,19.80%
04011,-6.27%
04012,18.65%
04013,31.02%
04015,26.35%
04017,6.96%
04019,1.74%
04021,3.82%
04023,0.78%
04025,30.85%
04027,19.13%
05001,12.94%
05003,-4.10%
05005,27.99%
05007,43.67%
05009,30.20%
05011,-1.83%
05013,12.46%
05015,26.49%
05017,-12.08%
05019,-15.82%
05021,-10.83%
05023,18.23%
05025,2.01%
05027,21.47%
05029,-0.83%
05031,12.97%
05033,42.94%
05035,5.14%
05037,3.17%
05039,-1.09%
05041,-9.66%
05043,7.42%
05045,18.47%
05047,18.56%
05049,-2.53%
05051,24.89%
05053,11.73%
05055,0.93%
05057,1.24%
05059,-9.67%
05061,15.96%
05063,18.86%
05065,3.12%
05067,-15.81%
05069,-13.93%
05071,17.69%
05073,-1.45%
05075,0.40%
05077,-21.09%
05079,-17.05%
05081,-7.68%
05083,27.08%
05085,20.09%
05087,18.40%
05089,18.54%
05091,13.25%
05093,7.27%
05095,-4.78%
05097,12.46%
05099,-0.52%
05101,25.13%
05103,8.87%
05105,5.02%
05107,-17.12%
05109,11.17%
05111,-3.03%
05113,25.91%
05115,34.01%
05117,7.08%
05119,11.46%
05121,-4.08%
05123,-3.99%
05125,18.67%
05127,18.77%
05129,33.86%
05131,42.81%
05133,5.02%
05135,10.10%
05137,11.56%
05139,26.95%
05141,15.38%
05143,30.13%
05145,22.69%
05147,-27.26%
05149,12.19%
06001,-30.79%
06003,13.77%
06005,13.75%
06007,13.59%
06009,14.48%
06011,20.40%
06013,-3.25%
06015,1.70%
06017,20.20%
06019,1.16%
06021,25.73%
06023,-15.96%
06025,11.32%
06027,30.48%
06029,24.08%
06031,13.85%
06033,-2.37%
06035,19.44%
06037,-5.02%
06039,10.76%
06041,-19.11%
06043,11.14%
06045,-13.48%
06047,3.80%
06049,27.43%
06051,25.18%
06053,1.02%
06055,2.06%
06057,17.29%
06059,36.66%
06061,20.64%
06063,3.90%
06065,19.88%
06067,3.35%
06069,9.89%
06071,21.44%
06073,21.85%
06075,-46.64%
06077,9.83%
06079,13.11%
06081,-12.81%
06083,9.75%
06085,-4.32%
06087,-24.76%
06089,20.58%
06091,4.07%
06093,3.88%
06095,-3.80%
06097,-14.57%
06099,7.16%
06101,36.09%
06103,15.15%
06105,12.53%
06107,20.57%
06109,9.78%
06111,24.44%
06113,-15.12%
06115,23.99%
08001,-6.70%
08003,8.81%
08005,21.86%
08007,28.51%
08009,32.04%
08011,-2.58%
08013,-8.48%
08014,
08015,9.31%
08017,30.44%
08019,3.36%
08021,-15.40%
08023,-42.13%
08025,15.47%
08027,40.87%
08029,21.08%
08031,-23.60%
08033,35.25%
08035,41.49%
08037,13.47%
08039,27.86%
08041,41.14%
08043,17.92%
08045,15.64%
08047,-4.78%
08049,22.28%
08051,13.77%
08053,45.21%
08055,-26.83%
08057,32.55%
08059,14.76%
08061,23.46%
08063,30.35%
08065,-21.51%
08067,17.00%
08069,12.36%
08071,-30.22%
08073,21.43%
08075,13.83%
08077,20.93%
08079,10.91%
08081,24.85%
08083,30.15%
08085,22.66%
08087,12.29%
08089,4.28%
08091,29.43%
08093,16.86%
08095,17.30%
08097,-9.79%
08099,14.59%
08101,-23.76%
08103,38.24%
08105,25.53%
08107,5.41%
08109,-4.37%
08111,4.32%
08113,-8.86%
08115,20.06%
08117,5.30%
08119,38.25%
08121,27.59%
08123,12.44%
08125,15.36%
09001,19.12%
09003,-7.12%
09005,13.05%
09007,1.06%
09009,3.24%
09011,3.69%
09013,2.67%
09015,3.02%
10001,20.92%
10003,7.77%
10005,24.27%
11001,-68.34%
12001,1.26%
12003,43.15%
12005,46.05%
12007,27.65%
12009,41.47%
12011,0.46%
12013,28.88%
12015,28.61%
12017,26.55%
12019,53.70%
12021,50.31%
12023,30.95%
12027,31.90%
12029,19.58%
12031,26.07%
12033,36.65%
12035,20.96%
12037,19.27%
12039,-3.02%
12041,23.84%
12043,19.78%
12045,27.79%
12047,21.91%
12049,35.91%
12051,31.96%
12053,15.62%
12055,34.61%
12057,20.40%
12059,43.83%
12061,40.13%
12063,25.14%
12065,6.16%
12067,33.36%
12069,37.68%
12071,36.12%
12073,3.68%
12075,20.69%
12077,32.71%
12079,13.51%
12081,31.45%
12083,33.29%
12085,45.94%
12086,11.01%
12087,21.86%
12089,33.65%
12091,60.71%
12093,22.19%
12095,36.59%
12097,36.78%
12099,11.40%
12101,11.70%
12103,16.05%
12105,33.48%
12107,15.01%
12109,40.85%
12111,29.70%
12113,56.29%
12115,33.36%
12117,45.14%
12119,20.57%
12121,29.97%
12123,39.05%
12125,40.57%
12127,14.27%
12129,32.32%
12131,39.37%
12133,33.97%
13001,23.93%
13003,11.80%
13005,28.58%
13007,-5.79%
13009,18.61%
13011,23.47%
13013,31.81%
13015,24.19%
13017,3.52%
13019,18.98%
13021,0.21%
13023,24.70%
13025,2.96%
13027,17.43%
13029,32.56%
13031,29.99%
13033,2.16%
13035,11.57%
13037,-16.57%
13039,16.30%
13043,17.91%
13045,38.92%
13047,44.29%
13049,16.67%
13051,17.23%
13053,11.26%
13055,24.75%
13057,53.52%
13059,-0.02%
13061,-19.82%
13063,31.38%
13065,18.36%
13067,45.91%
13069,18.21%
13071,30.55%
13073,55.86%
13075,11.78%
13077,39.17%
13079,-4.04%
13081,26.46%
13083,38.65%
13085,42.70%
13087,24.32%
13089,-1.27%
13091,10.53%
13093,-7.51%
13095,9.64%
13097,45.01%
13099,17.04%
13101,26.42%
13103,34.61%
13105,13.77%
13107,19.09%
13109,24.85%
13111,33.42%
13113,56.10%
13115,26.29%
13117,54.14%
13119,17.31%
13121,-13.49%
13123,41.93%
13125,46.84%
13127,27.18%
13129,43.60%
13131,22.61%
13133,-11.84%
13135,51.65%
13137,39.31%
13139,38.01%
13141,-51.22%
13143,30.58%
13145,28.26%
13147,10.24%
13149,27.84%
13151,42.69%
13153,28.80%
13155,14.32%
13157,25.55%
13159,10.69%
13161,24.45%
13163,8.58%
13165,14.90%
13167,25.66%
13169,15.17%
13171,17.59%
13173,1.89%
13175,17.13%
13177,48.42%
13179,3.21%
13181,22.55%
13183,11.41%
13185,25.55%
13187,35.05%
13189,30.74%
13191,-8.99%
13193,-23.15%
13195,38.69%
13197,-2.42%
13199,2.76%
13201,36.31%
13205,6.79%
13207,13.16%
13209,15.22%
13211,16.54%
13213,40.65%
13215,10.20%
13217,30.08%
